spec_id	resultado_id	consumidor	medicion	punto_independiente	punto_productor	delta	tolerancia	n	n_productor	numerador_decimal	denominador_decimal	masa_productor	punto_concuerda	n_concuerda	masa_concuerda	validacion_independiente	alcance	inferencia_diseno
CALC-ENVIPE-0001	RESULT-ENVIPE-DEN-P-C2-U4	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_con_miedo_o_desconfianza	envipe_c2_u4	0.29431298745731216	0.29431298745731216	0.0	1e-12	13023	13023	4409572	14982594	14982594.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCUCI-0001	RESULT-ENCUCI-B-P-RUR-AGR	milpa/tramite.yaml:civico.protesta.agravio_urbano_encuci2020:protesta_alguna_vez_rural_con_agravio_encuci2020	encuci_b_rural_agravio	0.09191244410077362	0.09191244410077362	0.0	1e-12	2050	2050	663497.0000000000	7218794.0000000000		True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCUCI-0001	RESULT-ENCUCI-B-P-URB-AGR	milpa/tramite.yaml:civico.protesta.agravio_urbano_encuci2020:protesta_alguna_vez_urbano_con_agravio_encuci2020	encuci_b_urbano_agravio	0.11219151313930475	0.11219151313930475	0.0	1e-12	8322	8322	4902687.0000000000	43699268.0000000000		True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0001	RESULT-ENIF-AHO-A-P-CORTO-SIN-P	milpa/tramite.yaml:dinero.ahorro.horizonte_corto:horizonte_corto	enif_a_corto_sin	0.5413426451419872	0.541343	-3.548580128631684e-07	5e-07	4973	4973	18994045	35086918	35086918.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0001	RESULT-ENIF-AHO-A-P-CORTO-CON-P	milpa/tramite.yaml:dinero.ahorro.horizonte_no_corto_con_seguridad_social:horizonte_corto	enif_a_corto_con	0.3731299167623308	0.37313	-8.323766920170783e-08	5e-07	3969	3969	9725363	26064281	26064281.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0002	RESULT-ENIF-POB-P-CORTO-NO-TRABAJA-P	milpa/tramite.yaml:dinero.ahorro.horizonte_no_trabajadores:horizonte_corto	enif_corto_no_trabaja	0.6327820855428481	0.632782	8.554284813833135e-08	5e-07	3462	3462	15876724	25090350	25090350.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0001	RESULT-ENIF-AHO-C-P-DESCONFIA-CONOCE-P	milpa/tramite.yaml:dinero.ahorro.seguro_deposito_enif2024:desconfianza_o_mal_servicio_como_razon_principal_conoce_proteccion_enif2024	enif_c_desconfia_conoce	0.06077998307684667	0.06078	-1.6923153330072882e-08	5e-07	426	426	194589	3201531	3201531.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0001	RESULT-ENIF-AHO-C-P-DESCONFIA-NOCONOCE-P	milpa/tramite.yaml:dinero.ahorro.seguro_deposito_enif2024:desconfianza_o_mal_servicio_como_razon_principal_no_conoce_enif2024	enif_c_desconfia_no_conoce	0.05476737995596916	0.054767	3.7995596915973984e-07	5e-07	2544	2544	1056917	19298294	19298294.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0001	RESULT-ENIF-AHO-B-P-FORMAL-P	milpa/tramite.yaml:dinero.ahorro.via_informal:formal_cualquiera	enif_b_formal	0.28492736594847873	0.284927	3.6594847874216185e-07	5e-07	13502	13502	26846267	94221441	94221441.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENIF-0001	RESULT-ENIF-AHO-B-P-INFORMAL-P	milpa/tramite.yaml:dinero.ahorro.via_informal:informal_cualquiera	enif_b_informal	0.5619195210567837	0.56192	-4.789432163088136e-07	5e-07	13502	13502	52944867	94221441	94221441.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-B-0001	RESULT-B-ENIGH-2022-P	milpa/tramite.yaml:familia.seguro.volatilidad_ausencia_estado:recibe_remesas	enigh_remesas_2022	0.04569409956405095	0.04569409956405095	0.0	1e-12	90102	90102	1716276	37560123	37560123.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCIG-0001	RESULT-ENCIG-MOR-C-P-ADOPTA	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta_encig2025_luz	encig_c_adopta	0.6733930340661712	0.6733930340661712	0.0	1e-12	20203	20203	81107259	120445646	120445646.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCIG-0001	RESULT-ENCIG-MOR-A-P-SOL1	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida_encig2025	encig_a_sol1	0.08511814556534456	0.08511814556534456	0.0	1e-12	40042	40042	5109784	60031665	60031665.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-DIG-SD	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital_r2	encig_b_digital_sd	0.029867554626649372	0.029867554626649372	0.0	1e-12	7219	7219	880119	29467394		True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-PRE-SD	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial_r2	encig_b_presencial_sd	0.1410407168724654	0.1410407168724654	0.0	1e-12	11167	11167	4819595	34171657		True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
CALC-ENCUCI-0001	RESULT-ENCUCI-A-P-CUALQUIERA	milpa/tramite.yaml:tramite.mordida.discrecional:solicitud_o_entrega_mordida_encuci2020	encuci_a_cualquiera	0.12600561008991654	0.12600561008991654	0.0	1e-12	13411	13411	7702166.0000000000	61125580.0000000000	61125580.0	True	True	True	PASA	PUNTO;UNIVERSO;UNIDAD;CODIFICACION;PONDERADOR;TRANSFORMACION;ENLACE	NO-COMPROBADA
