id	documentos_disponibles	documentos_incluidos_antes_limite	chars_incluidos	truncado	menciona_encuesta	menciona_encuesta_y_ola	evidencia_directa_evento	criterio_exploratorio
CIV-M-01	31	20	600000	SI	NO	NO	NO	No aparecen ENVIPE ni frases del evento BP1_23; coincidencias genéricas con miedo/desconfianza no describen razones de no denuncia.
CIV-M-02	31	20	600000	SI	NO	NO	NO	No aparecen ENVIPE ni frases del evento BP1_23; coincidencias genéricas con miedo/desconfianza no describen razones de no denuncia.
CIV-M-04	31	20	600000	SI	NO	NO	NO	No aparecen ENVIPE ni frases del evento BP1_23; coincidencias genéricas con miedo/desconfianza no describen razones de no denuncia.
CIV-M-10	31	20	600000	SI	NO	NO	NO	No aparecen ENVIPE ni frases del evento BP1_23; coincidencias genéricas con miedo/desconfianza no describen razones de no denuncia.
CIV-M-12	31	20	600000	SI	NO	NO	NO	No aparecen ENVIPE ni frases del evento BP1_23; coincidencias genéricas con miedo/desconfianza no describen razones de no denuncia.
CIV-M-13	31	20	600000	SI	NO	NO	NO	No aparecen ENVIPE ni frases del evento BP1_23; coincidencias genéricas con miedo/desconfianza no describen razones de no denuncia.
DIN-M-01	37	19	600000	SI	NO	NO	DUDOSA	Hay discusión general sobre ahorro, pero no ENNViH/MxFLS, cr27 ni la proporción objetivo.
FAM-M-01	32	19	600000	SI	NO	NO	DUDOSA	Hay discusión general de apoyo familiar, pero no ENIF, vejez ni el inciso p9_9_4.
TRA-M-02	32	20	600000	SI	NO	NO	DUDOSA	Hay menciones generales de mordida/soborno, pero no ENCUCI ni la unión solicitud O entrega de AP5_17/AP5_18.
TRA-M-03	31	20	600000	SI	NO	NO	DUDOSA	Hay menciones generales de corrupción/mordida, pero no ENCIG ni el reactivo único P8_3 de 2013.
TRA-M-07	31	20	600000	SI	NO	NO	DUDOSA	Hay menciones generales de corrupción/mordida, pero no ENCIG ni el primer inciso P8_3_1 de 2021.
