# DERIVADO — NO EDITAR (tools/nc_por_clase.py, ACTO GEN2-SENAL-1 · P2)
# universo: 177 filas ABIERTA de 446 en forense/no-corrido.tsv
# `SUCESOR-YA-FUSIONADO` es CANDIDATO: no autoriza cerrar. El cierre exige
# evidencia POR PRODUCTO, una fila a la vez. Nunca en bloque.
# ACTO GEN2-SENAL-1 verifico a mano las 20 candidatas mas probables:
# CERO de las 18 SUCESOR-YA-FUSIONADO resistieron. Ver columna
# `verificado_por_producto_en_senal_1`. El campo `sucesor` NO predice el cierre.
id	fecha	acto_que_la_abrio	pr	clase	que_le_falta	evidencia_derivada	verificado_por_producto_en_senal_1	pieza	que_no_se_corrio	sucesor_declarado
NC-0012	2026-09-08	GEN2-E6	n/a	ESPERA-ACTO-NOMBRADO	espera GEN2-E4 (encargo NO-ENCONTRADO)	GEN2-E4=encargo NO-ENCONTRADO		(6) Cierra NC-0007 si su verificacion end-to-end cabe aqui (fuera_de_politica contra PRs reales)	verificacion end-to-end de fuera_de_politica en tools/limpia_arbol.py contra PRs reales de GitHub	GEN2-E4
NC-0026	2026-09-08	GEN2-T9-ADENDA	n/a	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			ADENDA precision 1 -- la envoltura por celda de tools/emite_m.py que consuma la regla de ola previa estricta	la envoltura por celda NO se escribio: las dos reglas quedan como funciones PURAS en tools/emite_m.py, probadas y consumidas por el CALC de demostracion, pero emite_celda (el camino de emision vigente) NO las llama	ACTO C0-D (marcador GEN2), que consume las dos funciones ya especificadas y probadas aqui
NC-0029	2026-09-08	GEN2-T10	n/a	ESPERA-ACTO-NOMBRADO	parcial: corrió GEN2-CONCILIACION-TANDA-2-P1-TABLA; falta GEN2-F5-COMPLETA, GEN2-MOTOR-USOS-Y-COMPLEMENTOS, GEN2-VIGENCIA-DEUDA-1	GEN2-CONCILIACION-TANDA-2-P1-TABLA=CORRIÓ · GEN2-F5-COMPLETA=NO-CORRIÓ · GEN2-MOTOR-USOS-Y-COMPLEMENTOS=NO-CORRIÓ · GEN2-VIGENCIA-DEUDA-1=NO-CORRIÓ		P3(b)-2 -- nuevos R/L, ensamble E y adopciones	ningun corredor R/L nuevo, ningun ensamble E, ninguna adopcion de parametros	E03 para L y E04 para motor/adopciones; descomponer cada residual antes de cerrar || ENMIENDA FECHADA 2026-09-16 (ACTO GEN2-VIGENCIA-DEUDA-1, PROPUESTA A MESA, no decision del ejecutor): el texto de arriba NO se reescribe. E03 (cobertura ví
NC-0033	2026-09-08	AUTO-DIGESTO-1	n/a	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P2 caso de aceptacion (SHA corto ambiguo)	referencia historica con SHA corto ambiguo -- ningun caso real hoy en el arbol	mesa (revisitar si algun dia el arbol real produce dos commits con el mismo prefijo corto en forense/digesto/)
NC-0037	2026-09-08	GEN2-TRAMITE-FIRMAS-1	#693	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P3(c) -- las 10 filas VIVAS del cruce FP-343/FP-286 (HOMESCAN, PANEL_DE_COMPRA_DE_HOGARES, REGISTRO_DE_TANDAS_Y_REPUTACI	no existe ledger mexicano abierto de grupos, turnos y pagos que permita estimar tasa de incumplimiento; la via comercial sigue diferida por D18	residual panel resuelto; reexaminar ledger o comercio solo ante propuesta concreta y decision de mesa
NC-0038	2026-09-08	RUTINAS-2	n/a	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P5	sustituir los textos de pantalla de la cuenta de Claude por los del documento companero 05-PANTALLAS-RUTINAS-CONFIGURACION.md	DIFERIDO-A:mesa/operador
NC-0039	2026-09-08	RUTINAS-2	n/a	SIN-ASIGNAR	enruta a mesa/dirección sin nombrar acto ni FP: necesita dueño			P5	archivar el documento companero 05-PANTALLAS-RUTINAS-CONFIGURACION.md en el repo	DIFERIDO-A:mesa/operador
NC-0048	2026-09-08	GEN2-E5-1	#634	ESPERA-ACTO-NOMBRADO	parcial: corrió GEN2-RELEVO-USOS-1-CIERRE; falta GEN2-DELTA-1, GEN2-RELEVO-USOS-1, GEN2-VIGENCIA-DEUDA-1	GEN2-DELTA-1=NO-CORRIÓ · GEN2-RELEVO-USOS-1=NO-CORRIÓ · GEN2-RELEVO-USOS-1-CIERRE=CORRIÓ · GEN2-VIGENCIA-DEUDA-1=NO-CORRIÓ		«P5 · delta -- la primera comparacion GEN2<->GEN1, despues de medir y por script (E.1)»	El componente mecanico queda resuelto por ACTO GEN2-DELTA-COMPARACION-EXPLICITA: `corrida0 delta` ejecuta B-7 con parejas, hashes, uso y contrato cientifico explicitos. El componente historico de esta fila sigue sin poder correrse sobre «lo	Declarar, por cada comparacion historica adicional, consumidor/uso, fuente legacy anterior a adopcion, CALC+RESULT sellado y correspondencia de ocho dimensiones; correr el contrato GEN2-DELTA-1. La materialidad requiere ademas criterio sust
NC-0055	2026-09-08	GEN2-TRAMITE-TABLERO-2	#638	NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			«B1 · Reemplazar el cuerpo curado por la version v2.3»	el adjunto llego a la sesion pero su bloque derivado trae la senal PRE-firma (SHA d1a97cd6, ADR maximo 412, FP maximo 359, 0/86 corridas selladas, 0/205 resultados sellados) discordante contra el arbol de ejecucion (ADR real 413, FP maximo 	GEN2-TRAMITE-TABLERO-2 (relanzamiento, con el adjunto v2.3 regenerado del lado del tablero contra la senal post-firma)
NC-0056	2026-09-08	GEN2-UNIVERSO-C		NO-CLASIFICABLE	el campo `sucesor` es prosa sin FP, sin acto GEN2 y sin bandeja: no hay objeto verificable que decida el cierre			P1(c)/P1(d)/P2(a)	convenios y credenciales que el encargo pide NO perseguir aqui: convenio institucional con tanda.mx/tandamas.mx y con Tanda+ (equipo@tandamas.mx); tramite presencial del Laboratorio de Microdatos INEGI para el microdato de empresa de ENAFIN	E09: mover accesos publicos/academicos y preparar tramites personales; no negociar ni comprar
