ruta	localizador_original	texto_retirado_o_degradado	localizador_vigente	lectura_vigente	operacion_mapa
corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	L22,L65,L257	«Mayor caída anual histórica del índice de paz (−11.4%)» y diferencia IEP 11% PIB menos INEGI 1.07% como efecto ambiental	L22,L65,L257	IEP Mexico Peace Index 2026 informa mejora de la paz 5.1% en 2025 y caída de 11.4% del impacto económico de la violencia; no son el mismo indicador. IEP e INEGI usan métodos y años distintos, de modo que su diferencia no estima el efecto ambiental en no víctimas.	Corregir indicador del −11.4% y retirar la resta causal; documentar métodos/cortes antes de comparar. https://www.visionofhumanity.org/ahead-of-world-cup-mexico-posts-its-biggest-peace-gains-on-record/
corpus/reports/Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	L26,L177,L196	39.8% de personas 60+ con soledad «equivalente a 10.3 millones»	L26,L177,L196	La equivalencia interna no cuadra con la cifra de 17.1 millones 60+ en 2025 del mismo report: 39.8% de 17.1 millones es aproximadamente 6.8 millones; 10.3 millones exigiría una base de 25.9 millones. Quedan abiertos ítem, edad, expansión y posible universo de ENASEM 2021.	No promover el absoluto ni armonizar con la tasa sin fuente primaria, pregunta y factor.
corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	L113	«Los seis estados norteños fronterizos» seguidos por Baja California, Chihuahua, Coahuila, Nuevo León, Sinaloa, Sonora y Tamaulipas	L113	La lista tiene siete entidades; Sinaloa no colinda con Estados Unidos. Los seis estados de frontera terrestre son Baja California, Sonora, Chihuahua, Coahuila, Nuevo León y Tamaulipas. Tampoco la pertenencia fronteriza mide directividad interpersonal.	Corregir inventario geográfico y buscar escala regional de comunicación antes de usar la comparación norte-sur.
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	L4,L40	135,445 personas desaparecidas al 30/jun/2026 atribuidas al informe «Desapariciones en México» de la CIDH	L4,L40	Comunicado primario CIDH 82/26, 11/may/2026: el informe cerró en junio de 2025 con más de 128 mil personas desaparecidas; no puede certificar un corte posterior 30/jun/2026. El 135,445 aparece en comunicación Fundación para la Justicia con corte posterior, pero requiere fuente RNPDNO, extracción y definición propias.	Separar CIDH 2025 de conteo 2026 y no sumar ambos; corregir atribución antes de proyección. https://www.oas.org/es/CIDH/jsForm/?File=%2Fes%2Fcidh%2Fprensa%2Fcomunicados%2F2026%2F082.asp
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	L15,L43	35 asesinadas y 8 desaparecidas desde 2010 como cuenta vigente sin fecha posterior; 25 asesinadas en gobiernos 4T	L15,L43	Es corte histórico atribuido a Article 19 en marzo de 2026. Su tablero primario hasta mayo de 2026 muestra 37 asesinadas y 8 desaparecidas, pero el propio texto dice erróneamente «44» mientras el encabezado y la suma dan 45; el desglose por gobierno es inconsistente entre cortes. No promover total sin versión y conciliación del listado nominal.	Fijar fecha y versión del registro; tratar 35+8 como corte marzo, no vigente; registrar discrepancia 37+8/44/45. https://articulo19.org/buscadoras-agresiones-letales/
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	L18,L40	Activación del art.34 anunciada 4/abr/2025 y caso todavía «en estudio» de remisión a la Asamblea General	L18,L40	La decisión primaria CED/C/MEX/A.34/D/1, distribuida 17/abr/2026, §V párr.122, ya decide llevar con urgencia el asunto a la Asamblea General y pide transmisión al Secretario General. No equivale a sentencia penal ni a decisión de la Asamblea General.	Actualizar hito procedimental y conservar diferencia entre indicios fundados, remisión y resolución ulterior. https://docstore.ohchr.org/SelfServices/FilesHandler.ashx?enc=6kUA1J%2BZpX0no0%2BcE1o8qahaszcJosu7TXiqwiZqNm1hbTOAWHFnLpCzLseHeZ7XNI6O82nGKDo3hEvgpfEUnaguryc9yYY71CGw6Kk0enM%3D
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	L11-L13,L41,L161	Comparador Heeke 2015 descrito como muerte confirmada por homicidio y usado para matizar una regla general	L11-L13,L41,L161	Heeke et al. DOI 10.1016/j.jad.2014.10.038: muestra transversal desplazada por conflicto en cuatro provincias colombianas, n=73 familiares/amigos de desaparecidos y n=222 deudos; PGD evaluado con PG-13, 23%/31.5%, sin diferencia de severidad. Esperanza predijo PGD entre familiares/amigos de desaparecidos tras controlar depresión. No es muestra mexicana, aleatoria ni ensayo causal; el abstract no define el grupo deudor como exclusivamente homicidio.	Conservar comparación colombiana y predictor asociativo; no transferir tasas a México ni afirmar homicidio como comparador sin texto completo. https://pubmed.ncbi.nlm.nih.gov/25462397/
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	L4,L29,L40,L74,L106	99.6% de impunidad como probabilidad observada de que un caso individual quede sin sanción	L4,L29,L40,L74,L106	Impunidad Cero «Percepciones de Impunidad 2024» p.3 reproduce 35,669 registros RNPDNO 2019-2022 frente a 141 sentencias condenatorias reportadas por poderes judiciales locales: 1−141/35,669≈99.6%. Numerador y denominador no son cohorte enlazada de casos; el estudio original comunica alrededor de 99% y aclara diferencias jurisdiccionales.	Rotular como razón agregada de registros/sentencias, no tasa individual de resolución ni causalidad del duelo; registrar informe, fórmula y cobertura antes de contrato. https://www.impunidadcero.org/uploads/app/articulo/204/contenido/1718122427Z88.pdf
corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	L9-L12	Etiqueta cultura de honor mexicana	L9-L12	Sensibilidad reputacional y gestión de face bajo autopercepción de dignidad; dato de perdón reputacional MEDIA; no generalizar honor-violencia	Excluir etiqueta retirada; conservar componente reputacional con procedencia y límite
corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	L13-L18	Estudios mexicano-americanos como evidencia directa en México	L13-L18	Muestras de diáspora llevan marca b y transferencia no verificada a residentes mexicanos	No asignar tier mexicano poblacional desde esas muestras
