id_lectura	archivo_fuente_linea	componente_y_limite	contrato_o_concepto	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-cb16d398-01	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L5	«Alerta focalizada, no burbuja sistémica» es síntesis de series bancarias y hueco BNPL/no bancario; no un estimando único	CRED-FACIL-RIESGO	SINTESIS-CONDICIONAL	¿Qué cobertura CNBV/Banxico y no bancarios admite el veredicto sistémico, y qué umbral preregistrado define alerta?	CNBV IMOR/IMORA por producto 2024-26; Banxico REF dic-2025; SOFOM/BNPL por localizar	ASTRA5-MESA-DINERO	Separar sistema bancario de hogares/fintech y conservar incertidumbre fuera de supervisión.
LECTURA-cb16d398-02	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L7	Adopción de crédito, mora, cobranza, tasas e ingreso son series distintas; asociación por producto no identifica cadena baja fricción→burbuja	CRED-FACIL-MECANISMO	PENDIENTE-CAUSALIDAD	¿Qué panel de deudores empareja fricción de originación, CAT, ingreso, formalidad y transición a mora?	CNBV/Banxico series agregadas; ENIF 2024 crédito; panel de originación/repago por localizar	ASTRA5-MESA-DINERO	Contratar prevalencias por separado y no dictaminar efecto de fricción con promedios de producto.
LECTURA-cb16d398-03	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L9	BNPL 7% compras online/2% físicas AMVO no es prevalencia de adultos ni perfil nacional; 35-44 y Gen Z se mezclan entre fuentes; reporte a buró exige regla por proveedor/producto	CRED-FACIL-BNPL	PENDIENTE-AMVO-REGULACION	¿Qué preguntas AMVO definen base online/física, edad e intensidad, y qué obligaciones efectivas de reporte aplican a cada BNPL?	AMVO Estudio Venta Online 2025 cuestionario/ficha; contratos Kueski/Aplazo/Nelo y regulación SIC por cotejar	ASTRA5-MESA-DINERO	Fijar universos de compra y proveedor, no afirmar ausencia universal de reporte ni penetración de segmentos populares.
LECTURA-cb16d398-04	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L11	IMOR, IMORA, cartera, REDECO y alerta CONDUSEF componen señal heterogénea; comparación Brasil/Argentina necesita métricas y cobertura equivalentes	CRED-FACIL-RIESGO	PENDIENTE-SERIES-COMPARABLES	¿Qué definiciones/fecha/instituciones de cada regulador permiten comparar tendencias y no solo niveles?	CNBV IMOR/IMORA; Banxico REF dic-2025; CONDUSEF REDECO; BCB y BCRA por cotejar	ASTRA5-MESA-DINERO	Separar por producto y métrica; no declarar analogía de crisis desde tasas nominales distintas.
CRED-IND-01	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L30	IMOR consumo 3.18% oct-2025 y 3.35% may-2026 son banca múltiple; «tendencia clara» requiere serie primaria/estacionalidad	CRED-FACIL-IMOR	PENDIENTE-CNBV	¿Qué tabla CNBV IMOR consumo por mes y mismo perímetro reproduce 3.04/2.89/3.18/3.35%?	CNBV Portafolio de Información crédito banca múltiple 2024-26 por cotejar	ASTRA5-MESA-DINERO	Reconstruir serie mensual, fecha de corte y cambios metodológicos.
CRED-IND-02	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L33	IMOR personal 5.42, tarjeta 3.51, auto 1.22 y ABCD 1.63 difieren por selección, garantía y precio; no prueban «fricción fácil»	CRED-FACIL-IMOR	PENDIENTE-PRODUCTO	¿Qué categorías CNBV/fecha generan cada tasa y cómo se define exposición comparable?	CNBV cartera consumo por producto oct-2025; Banxico crédito por tipo por cotejar	ASTRA5-MESA-DINERO	Cotejar denominador de cartera e impedir causalidad desde contraste de productos.
CRED-IND-03	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L36	IMORA 10.54% sep-2025 incluye castigos y quitas; no comparte denominador con IMOR ni prueba ausencia de estrés no bancario	CRED-FACIL-IMORA	PENDIENTE-IMORA	¿Qué fórmula y serie CNBV/Banxico generan 10.54, 14.44 y 10.4% con periodo/cartera comparables?	Banxico REF dic-2025 y CNBV IMORA metodología/serie por cotejar	ASTRA5-MESA-DINERO	Fijar fórmula y cobertura, contrastar solo misma métrica.
CRED-IND-04	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L39	7.1% real cartera consumo mar-2026 y 11.9/14.4% personales/micro a inicios 2025 no son misma fecha/producto; desacelerar no descarta toda burbuja	CRED-FACIL-CARTERA	PENDIENTE-CRECIMIENTO	¿Qué saldo, deflactor y ventana interanual Banxico sustentan cada tasa?	Banxico financiamiento a hogares/REF 2025-26; INPC serie por cotejar	ASTRA5-MESA-DINERO	Armonizar fecha/producto y no inferir estado sistémico de una pendiente aislada.
CRED-IND-05	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L42	REDECO 23,435→28,401 quejas 2024-25 mide denuncias de cobranza, no tasa de impago; total banca bajó 2.1% con otra base	CRED-FACIL-QUEJAS	PENDIENTE-REDECO	¿Qué clasificación REDECO y unidad de expediente sustentan +21.2% y qué cambia en cobertura de despachos?	CONDUSEF REDECO informe 2024/2025 y banca reclamaciones por cotejar	ASTRA5-MESA-DINERO	Cotejar conteos y base de prestamistas; no usar queja como sustituto de mora.
CRED-IND-06	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L45	Advertencia CONDUSEF sobre mercantiles/no bancarios es declaración regulatoria; 46,000→51,900 mdp no equivale por sí a incidencia de hogares	CRED-FACIL-ALERTA	PENDIENTE-CONDUSEF	¿Qué documento primario de CONDUSEF 18-mar-2026 define cartera, cobertura y variación 12 nominal/8 real?	CONDUSEF comunicado/discurso y Banxico REF dic-2025 por cotejar	ASTRA5-MESA-DINERO	Separar cita, cifra y alcance supervisor antes de proyectar riesgo.
CRED-IND-07	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L48	BNPL 4.56B USD es estimación privada; AMVO 7%/2% son uso entre compradores, no mercado monetario; 35-44 y millennials/Gen Z difieren	CRED-FACIL-BNPL	PENDIENTE-ESTIMACIONES	¿Qué base monetaria Research and Markets/AMVO y pregunta de uso distinguen monto, transacciones y usuarios?	Research and Markets 2024; AMVO Venta Online 2025 cuestionario/ficha; Statista edades por cotejar	ASTRA5-MESA-DINERO	Mantener clase auto-reportada/encuesta y no fundir monto con penetración.
CRED-IND-08	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L51	«Pay-in-four no reporta» no puede afirmarse universalmente sin régimen y contrato por proveedor; comparación Andhra Pradesh/EE.UU. no mide México	CRED-FACIL-BNPL	PENDIENTE-BURO	¿Qué productos y periodos reportan a sociedades de información crediticia y con qué obligación regulatoria vigente?	Buró de Crédito/Círculo de Crédito guías, regulación Banxico/CNBV y contratos BNPL por cotejar	ASTRA5-MESA-DINERO	Verificar cobertura efectiva y conservar «deuda fantasma» como riesgo condicionado.
CRED-IND-09	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L54	CAT de tarjetas/productos Kueski son precios anunciados, no tasa pagada media; 44% totaleros usa denominador de tarjetas con saldo/uso propio	CRED-FACIL-CAT	PENDIENTE-CAT	¿Qué fecha/producto y supuesto de pago generan CAT 66/105.90/124.8/153.31%, y cuál encuesta produce 44% totaleros?	Banxico comparador tarjetas 2024; CONDUSEF fichas de producto; Kueski contrato; fuente totaleros por cotejar	ASTRA5-MESA-DINERO	Distinguir costo legal, interés efectivamente pagado y distribución de prestatarios.
CRED-IND-10	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L57	ENIF 38.4% P6_14=7 solo entre quienes nunca tuvieron crédito formal; no es aversión de todos los hogares; 18.7% del PIB es ratio macro distinto	ASTRA5-U0-FIN-009	MIXTA-ENIF-CERRADO-PIB-PENDIENTE	¿Qué tabla Banxico REF define deuda hogares/PIB 18.7 y qué resultado ENIF reproduce P6_14 entre nunca usuarios?	enif2024_cuestionario_pdf P6_14 y FD TMODULO en main; Banxico REF dic-2025 por cotejar	ASTRA5-MESA-DINERO	Deduplicar con FIN-009; no traducir respuesta declarada a rasgo de riesgo poblacional.
CRED-REGLA-01	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L72	Adopción de crédito fácil en segmento popular no queda demostrada por BNPL AMVO urbano; burbuja no se contrasta solo con IMOR banca	CRED-FACIL-MECANISMO	PENDIENTE-REGLA	¿Qué instrumento mide adopción de crédito de baja fricción por ingreso/formalidad y posterior mora?	ENIF 2024 preguntas crédito; AMVO 2025 compradores; originaciones panel por localizar	ASTRA5-MESA-DINERO	Conservar alerta como riesgo, no validar premisa popular sin segmento.
CRED-REGLA-02	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L74	Baja fricción, CAT alto y falta de reporte son mecanismos distintos; condicional «solo cuando» exige interacción estimada	CRED-FACIL-MECANISMO	PENDIENTE-INTERACCION	¿Qué diseño estima efecto de fricción sobre mora por CAT y condición de reporte?	panel de oferta/repago fintech por localizar; CNBV agregado insuficiente	ASTRA5-MESA-DINERO	No convertir advertencia razonable en interacción causal demostrada.
CRED-REGLA-03	corpus/forense/Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md:L76	ENIF P6_14=7 entre nunca usuarios no refuta preferencia temporal general ni mide volatilidad de ingreso; informalidad ENOE tampoco la identifica	ASTRA5-U0-FIN-009	MIXTA-RESPUESTA-CERRADA-MECANISMO-PENDIENTE	¿Qué reactivos pareados miden endeudamiento, horizonte temporal y volatilidad en mismos adultos?	ENIF 2024 P6_14; ENOE EMP_PPAL; panel financiero/ingreso por localizar	ASTRA5-MESA-DINERO	Deduplicar 38.4% con FIN-009 y no inferir rasgo temporal de no prestatarios.
