id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ASTRA5-U0-APUEST-001	apuestas-001	LECTURA-329d8c81-02;CAND-329d8c81-L191	L9;L191	«ACIERTA sistemáticamente el supuesto "utilidad + reducción de fricción por encima de confianza" en fintech de inclusión» — Nu México, Banco Azteca, Kueski y Aplazo acertaron con métricas duras; «baja confianza institucional = rechazo tecnológico» es FALSO, es «desconfianza racional calibrada».	NO-EXPLÍCITO (L9, patrón editorial); FUERTE (L191, CONFIRMA)	CONCLUSION-DE-ESTUDIO	mixta (Banco Azteca es mexicana; Nu es brasileña operando en México; Kueski y Aplazo son mexicanas)	que el patrón «utilidad+fricción baja vence a confianza» se repita en 4 decisiones de diseño de producto de empresas distintas del mismo dominio (fintech de inclusión) sin caso contrario documentado	4 éxitos comerciales simultáneos no identifican el mecanismo (confianza vs. utilidad): ninguno tiene grupo de comparación ni un caso de alta utilidad que haya fracasado por desconfianza pura; el propio report lo declara abierto en su Etapa 3 (L246, «buscar el contra-ejemplo... si no se encuentra, elevar a tier FUERTE transversal»)	empresa/decisión de diseño de producto; no hay universo poblacional propio (síntesis de 4 casos, no medición)	no aplica			NO-MEDIBLE-POR-DISEÑO	veredicto que recombina filas ya dictaminadas (apuestas-007/008/009 Azteca, apuestas-010/011 Nu, apuestas-014/015/016 Kueski/Aplazo) atribuyendo un patrón causal transversal sin contrafactual ni diseño de identificación en los instrumentos recorridos; u0mf --busca "Behavioral Finance" -> 0/1680 (ningun RESULT agrega los 4 casos); no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. Componentes descriptivos (clientes/cifras de cada empresa) en las filas citadas.			ninguna corrida con <payload_id> (u0mf --calc: no aplica, síntesis sin payload_id propio)	ASTRA5-MESA-DINERO	Ninguna operación propia; residuales en las filas de cada caso citado	CONC-DOC-APUESTAS-PATRON-FRICCION		u0mf --busca "Behavioral Finance" -> 0/1680	DINERO	Cambiaría (lo acotaría a tier FUERTE transversal, o lo rompería) si aparece un caso de producto de alta utilidad/baja fricción que fracasó por desconfianza pura en un segmento definido (búsqueda deliberada pendiente, Etapa 3 del report).
ASTRA5-U0-APUEST-002	apuestas-002	LECTURA-329d8c81-03;CAND-329d8c81-L190;APUESTAS-PAR-02	L10;L181-L182;L190	«CoDi vs. OXXO Pay/Spin: supuesto opuesto sobre el efectivo» — CoDi asumió que la gente abandonaría el efectivo por un QR gratuito y fracasó; OXXO Pay asumió que el efectivo es infraestructura a integrar y se volvió el mayor corresponsal bancario. Corrección vigente: no es «el par contrafactual más limpio»: cuentas CoDi, usuarios Spin y pagos OXXO Pay son métricas distintas; no se identifica causalmente la preferencia por efectivo.	FUERTE (L190, L65, L112 declarados en el report); DEGRADADO por corrección vigente del lote sobre L10/L181 (contrato interno del paquete, no ASTRA5-U0-XXX)	CONCLUSION-DE-ESTUDIO	(a) primaria México (Banxico, FEMSA/OXXO, CNBV; ambos proyectos operan en México)	que la adopción de CoDi (cuentas validadas, transacciones) y la de OXXO Pay/Spin (usuarios, puntos de corresponsalía) reflejen un mismo mecanismo de «relación con el efectivo» opuesto entre los dos proyectos	CoDi (transferencia interbancaria vía QR) y OXXO Pay/Spin (pago en efectivo en tienda física + billetera) no son el mismo instrumento ni el mismo universo de elegibilidad (uno requiere cuenta bancaria enrolada, el otro no); no hay panel pareado de los mismos usuarios eligiendo entre ambos canales; la corrección vigente del lote ya retira la etiqueta «par contrafactual más limpio»	persona/comercio que paga o cobra; universo nacional, sin panel pareado entre los dos proyectos	Banxico SIE CF881-CF885 (CoDi, 2019-2026); CNBV corresponsalías (2019); FEMSA/OXXO Pay-Spin (comunicados propios)	banxico_informe_anual_idmf_2024|c164b91183402c0728f9799bf4c6889706c71158b45c40546b28a07ab2c78d6f|p.11,17		NO-MEDIBLE-POR-DISEÑO	atribución causal de un par narrativo sin contrafactual pareado ni diseño de identificación (mismo defecto que señala la corrección vigente L10/L181 del lote: «Separar series/universos y buscar comparación emparejada antes de adjudicar mecanismo»); componentes descriptivos de CoDi en apuestas-030/031 y de OXXO/Spin en apuestas-018/019. u0mf --busca cnbv --busca corresponsal -> 0/1680 (sin tabla CNBV de corresponsalías registrada; sí boletín web identificado, ver apuestas-018).			ninguna corrida con <payload_id> (u0mf --calc: no aplica, síntesis)	ASTRA5-U4	Diseñar comparación emparejada (mismo segmento/ventana) entre disposición a pagar con QR vs. efectivo en punto físico antes de adjudicar mecanismo; residual en apuestas-018/019/030/031	CONC-DOC-CODI-OXXO-PAR		u0pdf --id banxico_informe_anual_idmf_2024 -q "efectivo" -q "CoDi" -> 52 y 47 coincidencias; u0mf --busca cnbv --busca corresponsal -> 0/1680	DINERO	Cambiaría si existiera un experimento o panel que asigne el mismo segmento a pagar con QR vs. efectivo en el mismo punto de venta y periodo; sin eso, la comparación es de series agregadas no pareadas.
ASTRA5-U0-APUEST-003	apuestas-003	LECTURA-329d8c81-04;CAND-329d8c81-L192;CAND-329d8c81-L231;TIER-329d8c81-L74	L11;L67;L192;L231;L74	Bodega Aurrera/«Mamá Lucha»: «ACIERTA calidad accesible / precio con dignidad» — «supuesto CORRECTO pero no aislado... confirma calidad > precio 2:1». Corrección vigente del lote (L11,L67,L192): el forense aspiracional del mismo corpus la declara NO VALIDADA con métrica de venta; premio Effie y proporción de tiendas no miden preferencia D/E precio-calidad. Auditoría propia (L231): el vínculo personaje-ventas es en parte RETROSPECTIVO.	MEDIA (L74, L192); contradicho por forense hermano (Consumo Aspiracional, DEDUP MAMA-LUCHA-FORENSES) que lo marca NO VALIDADA	CONCLUSION-DE-ESTUDIO	(a) primaria México (Walmart de México/Bodega Aurrera, campaña Olabuenaga Chemistry 2006)	que el personaje Mamá Lucha (enmarcado «dignidad/heroísmo» vs. pobreza) haya sido decisivo en la elección de compra del segmento C/D/E, frente a precio y logística de expansión de Walmart	CONFUNDIDO por diseño propio del report (precio agresivo, expansión a poblados sin supermercado, logística Walmart); sin panel ni experimento de compra D/E que aísle el marco publicitario del precio; dos forenses del mismo corpus dictan veredictos opuestos sobre el mismo caso (CONFIRMADO aquí, NO VALIDADA en el forense aspiracional) — la contradicción se conserva, no se promedia (regla del cruce MAMA-LUCHA-FORENSES)	hogar/consumidor C-D-E que elige tienda/formato; sin panel de decisión de compra pareado	no aplica al mecanismo (síntesis); ver apuestas-021 para las cifras descriptivas de Walmex/Effie			NO-MEDIBLE-POR-DISEÑO	atribución causal de un caso único con contradicción documentada entre dos forenses del mismo corpus, sin panel ni experimento D/E de precio-calidad (u0mf --busca walmex --busca costco -> 0/1680, ninguna serie de panel de consumo registrada); no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. Componentes descriptivos (Effie, número de tiendas) en apuestas-021.			ninguna corrida con <payload_id> (u0mf --calc: no aplica)	ASTRA5-MESA-DINERO	Mantener contradicción explícita entre los dos forenses (no seleccionar veredicto por conveniencia); exigir panel/experimento D/E de precio-calidad antes de dictaminar	CONC-DOC-MAMA-LUCHA		u0mf --busca walmex -> 0/1680; u0mf --busca costco -> 0/1680 (ninguna serie de panel de consumo mexicano registrada)	CONSUMO	Cambiaría si un panel o experimento controlado de compra D/E, con y sin exposición a la campaña, muestra diferencia significativa en elección precio/calidad; hasta entonces, dos forenses del mismo corpus se contradicen sobre el mismo caso.
ASTRA5-U0-APUEST-004	apuestas-004	LECTURA-329d8c81-05	L12	«FALLA el supuesto esencialista de "el mexicano" como bloque» — Jüsto (consumidor urbano digital tipo clase media global) y CoDi (usuario bancarizado con datos) fallaron por homogeneizar.	NO-EXPLÍCITO (patrón editorial; casos citados: L112 MEDIA CoDi, L130 ILUSTRATIVO Jüsto)	CONCLUSION-DE-ESTUDIO	mixta (CoDi es institución pública mexicana; Jüsto es empresa mexicana con capital internacional)	que dos fracasos comerciales distintos (CoDi 2019, Jüsto 2025) compartan la misma causa de diseño (asumir un consumidor mexicano homogéneo)	son dos casos con causas explícitamente CONFUNDIDAS en el propio report (CoDi: no obligatoriedad bancaria, miedo al SAT; Jüsto: disciplina financiera y rentabilidad); atribuir a ambos la MISMA causa psicológica (esencialismo) sin contrafactual ni diseño que aísle esa variable de las estructurales es una síntesis, no una medición	empresa/decisión de segmentación de producto; sin universo poblacional propio	no aplica			NO-MEDIBLE-POR-DISEÑO	síntesis de dos casos ya dictaminados (apuestas-032 CoDi, apuestas-036/037 Jüsto) que les atribuye una causa psicológica común sin contrafactual; u0mf --busca jüsto -> 0/1680, u0mf --busca justo -> 0/1680 (sin documento primario registrado); no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal.			ninguna corrida con <payload_id> (u0mf --calc: no aplica)	ASTRA5-MESA-CONSUMO	Ninguna operación propia; residual en apuestas-032 y apuestas-036/037	CONC-DOC-APUESTAS-ESENCIALISMO		u0mf --busca jüsto -> 0/1680; u0mf --busca justo -> 0/1680	CONSUMO	No aplica falsador de tier (NO-EXPLÍCITO); un diseño que compare directamente segmentos urbano-digital vs. resto con la misma oferta lo permitiría.
ASTRA5-U0-APUEST-005	apuestas-005	LECTURA-329d8c81-06;CAND-329d8c81-L194	L13;L194	«FALLA atribuir a psicología ("antivacunas", "malinchismo", "no saben planear") lo que fue estructura» — la caída de vacunación infantil fue desabasto logístico, no rechazo cultural: «el caso más peligroso de mala atribución». CONFIRMADO por Caso 12. [FUERTE]	FUERTE (L194, CONFIRMA)	CONCLUSION-DE-ESTUDIO	(a) primaria México (ENSANUT Continua, Secretaría de Salud)	que la caída de cobertura de vacunación infantil 2017-2023 se explique por desabasto/regulación (oferta) y no por rechazo cultural de los padres (demanda) — ver cifras y mecanismo administrativo en apuestas-038/039	es una síntesis-verdict que recombina apuestas-038 (cifras ENSANUT) y apuestas-039 (inhabilitación de Laboratorios Imperiales Pharma); el propio report no compara con una encuesta de actitud/rechazo parental que mida directamente 'antivacunas' como alternativa — la conclusión es por descarte narrativo, no por medición pareada oferta-vs-demanda en la misma cohorte	niño/esquema de vacunación; hogar; nacional 2012-2023	ENSANUT Continua 2021-2023 (cobertura); no se halló instrumento nacional de actitud/rechazo parental a vacunas pareado a la misma cohorte			NO-MEDIBLE-POR-DISEÑO	la comparación "estructura vs. cultura" en sí misma exige un instrumento que mida razón de no vacunación (actitud) en la MISMA cohorte que la caída de cobertura; u0busca -q "no lo vacun|no fue vacunado|razon de no" -> 6 aciertos, todos en ENADID 2023 (razón de no uso de anticonceptivos, no de vacunas); u0busca -q "esquema de vacunacion completo|cartilla de vacunacion" -> 0 aciertos; no se identificó instrumento de razón de no vacunación tras este recorrido; no equivale a imposibilidad universal. Las cifras de cobertura y el hecho administrativo del desabasto SÍ están en apuestas-038/039.			ninguna corrida con <payload_id> (u0mf --calc: no aplica)	ASTRA5-MESA-SALUD	Buscar módulo ENSANUT con razón de no vacunación por localidad, pareado a compras/entregas BCG (pieza ya señalada por Codex en APUESTAS-CASO-12)	CONC-DOC-VACUNAS-ESTRUCTURA		u0busca -q "no lo vacun|no fue vacunado|razon de no" -> 6 aciertos (ENADID, no vacunas); u0busca -q "esquema de vacunacion completo|cartilla de vacunacion" -> 0 aciertos	SALUD	Cambiaría si una encuesta nacional pareada mostrara que el rechazo parental declarado (no la falta de oferta) explica la mayoría de los casos de esquema incompleto en el mismo periodo y cohorte.
ASTRA5-U0-APUEST-006	apuestas-006	CAND-329d8c81-L195	L195	«Corrupción/mordida y adaptación a instituciones que fallan, no cultura de la ilegalidad» — CONFIRMADO indirectamente por CoDi (el miedo al SAT como cálculo racional del informal, no rechazo cultural a la tecnología). [MEDIA]	MEDIA	INTERPRETACION-DEL-REPORT	(a) primaria México (LAPOP/AmericasBarometer México, módulo EXC de victimización/justificación de mordida)	que la justificación de pagar una mordida se explique por fallas de servicios públicos (adaptación racional) y no por 'cultura de la ilegalidad'	LAPOP mide justificación/experiencia de mordida en general (policía, juzgados, salud, escuela, luz), NO el mecanismo específico del report (miedo al SAT frente a adopción de CoDi); el 'miedo al SAT' como barrera de CoDi sigue sin instrumento propio pareado — ese tramo del razonamiento permanece NO-MEDIBLE; el archivo es de la carpeta 'Descargas Manuales' (raíz descargas_mx, URL genérica vanderbilt.edu/lapop/mexico.php, sin URL exacta de descarga confirmada) por lo que la identidad del archivo exacto queda con nota de cautela	persona 18+; percepción/experiencia de mordida; México, LAPOP 2004 y 2006	LAPOP/AmericasBarometer México 2004 y 2006 (módulo EXC)	1008973606mexico_lapop_final_2006_data_set_092906|f43fcf78533febabe4eacb539f0ed03470c8320d606f29f54c220cda5abb3039|etiquetas de variable EXC18/EXC19 del archivo .sav (inventario descargas_mx_v1_1); 1390537077technical_information_mexico_2006|521cba1bd010dedecbb1df0e9ad5ced7f57f21da1f47b56b2656be54b874af60|ficha técnica de la ola	EXC18 «¿Cree que como están las cosas a veces se justifica pagar una mordida (o soborno)?»; EXC19 «¿Cree que en nuestra sociedad, el pagar mordidas (o soborno) es justificable debido a los malos servicios públicos, o no es justificable?» (códigos por extraer de enif... no aplica; códigos por extraer del FD/cuestionario LAPOP 2006, no localizado como PDF registrado)	MEDIBLE-EN-CORPUS	el componente "justificación de mordida por fallas institucionales" SÍ tiene instrumento y payload con id real en manifiesto (no reservado); el tramo específico del report (miedo al SAT como freno a CoDi) NO tiene instrumento pareado -> ese tramo permanece NO-MEDIBLE-POR-DISEÑO y se declara como límite. u0busca -q "mordida" -> 40 aciertos (LAPOP 2004 y 2006, módulo EXC); u0busca -q "miedo al sat|temor al sat" -> 0 aciertos.	1008973606mexico_lapop_final_2006_data_set_092906|f43fcf78533febabe4eacb539f0ed03470c8320d606f29f54c220cda5abb3039|raíz descargas_mx; 1658622845mexico_2004_export_version|e725383552753223d263a1d65e2aaf9549a59859eb1b5777b666f32728700c99|raíz descargas_mx; U0 no abrió microdato		ninguna corrida con <payload_id> (u0mf --calc 1008973606mexico_lapop_final_2006_data_set_092906: 0; LAPOP 2023/piso ya adoptado para otras preguntas, ver RESULTS-ASTRA5.md, pero no para EXC18/EXC19)	ASTRA5-U3	Extraer códigos de respuesta de EXC18/EXC19 desde el cuestionario LAPOP 2006 (localizar PDF); buscar instrumento propio de 'miedo al SAT' pareado con adopción de medios de pago digitales, hoy ausente	CONC-LAPOP2006-EXC18EXC19		u0busca -q "mordida" -> 40 aciertos con texto (LAPOP 2004 dc1,exc2,exc4,exc5,exc6...; LAPOP 2006 DC1,EXC2,EXC6,EXC13-19); u0busca -q "miedo al sat|temor al sat" -> 0 aciertos; u0mf --id 1008973606mexico_lapop_final_2006_data_set_092906 -> confirmado, sha256 f43fcf78..., sin reserva	CONFIANZA	Cambiaría si la asociación entre justificación de mordida y calidad de servicios públicos se rompiera en LAPOP (p.ej. mayor justificación donde el servicio es mejor); para el tramo CoDi/SAT, un instrumento que parée miedo fiscal con adopción tecnológica lo haría medible.
ASTRA5-U0-APUEST-007	apuestas-007	CAND-329d8c81-L38;APUESTAS-CASO-01	L31-L38	Banco Azteca (Grupo Elektra/Salinas, oct 2002) abrió 800+ sucursales eliminando el comprobante de ingresos; en municipios donde entró, los hogares informales sustituyeron casas de empeño por banca formal (caída del 39% en dependencia de empeño) y suavizaron consumo (Claudia Ruiz, Banco Mundial, "From Pawn Shops to Banks", 2013).	FUERTE	CIFRA-PUBLICADA	(a) primaria México (estudio con datos municipales mexicanos, publicado por el Banco Mundial)	que la entrada de Banco Azteca a un municipio haya reducido la dependencia de casas de empeño (~39%) y suavizado el consumo de hogares informales, comparado con municipios sin entrada	es un estudio observacional con variación geográfica y temporal de entrada de sucursales (cuasi-experimental), no un experimento aleatorizado; AISLABLE en el supuesto (comprobante de ingresos), CONFUNDIDO en rentabilidad/morosidad (tasas altas del segmento, según el propio report)	hogar informal; municipios con y sin entrada de Banco Azteca; México, ventana ~2002-2010s	World Bank Policy Research Working Paper 6634 (Ruiz, 2013), «From pawn shops to banks: the impact of formal credit on informal households»			MEDIBLE-CON-ADQUISICIÓN	documento primario identificado y existencia confirmada por WebSearch (24/sep/2026): World Bank Policy Research Working Paper Series 6634, "From pawn shops to banks: the impact of formal credit on informal households", Claudia Ruiz, 2013, documents.worldbank.org/en/publication/documents-reports/documentdetail/465221468286796985. El snippet de búsqueda reporta que los hogares en municipios con Banco Azteca son "3 veces más propensos a usar crédito bancario y 46% menos propensos a obtener crédito de empeño" — cifra (46%) que NO coincide literalmente con la citada por el report (39%); ambigüedad sin resolver hasta leer el PDF completo (falta registrar y descargar el documento; no está en manifiesto: u0mf --busca ruiz --busca pawn -> 0/1680).	faltante: World Bank Policy Research Working Paper 6634 (Ruiz, 2013), «From pawn shops to banks: the impact of formal credit on informal households»		ninguna corrida con <payload_id> (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-DINERO	Registrar y descargar WPS6634 (documents.worldbank.org); cotejar la cifra exacta (39% citado por el report vs. 46% del snippet de búsqueda) y el periodo/municipios exactos	CONC-DOC-RUIZ-WB-WPS6634-2013		u0mf --busca ruiz -> 0/1680; u0mf --busca pawn -> 0/1680; WebSearch «Claudia Ruiz "From Pawn Shops to Banks" World Bank 2013 Mexico» (24/sep/2026) -> confirma WPS6634, documents.worldbank.org/en/publication/documents-reports/documentdetail/465221468286796985	DINERO	Cambiaría si el documento completo no reporta una reducción significativa en dependencia de empeño en municipios con entrada de Banco Azteca frente a los que no la tuvieron, o si la cifra correcta (46% según el snippet) contradice sustantivamente la citada por el report (39%).
ASTRA5-U0-APUEST-008	apuestas-008	CAND-329d8c81-L38	L36	«El análogo BanCoppel cerró 2024 en 6.52%[de morosidad], por encima del promedio bancario» — cifra comparadora de morosidad del segmento de banca popular/base de la pirámide.	FUERTE (rige encabezado L38, Caso 1)	CIFRA-PUBLICADA	(a) primaria México (serie regulatoria bancaria)	que la cartera vencida (IMOR) de BanCoppel al cierre de 2024 sea 6.52%, por encima del promedio de la banca múltiple	es una cifra de morosidad de OTRA institución (BanCoppel, no Banco Azteca) usada como análogo del segmento; no mide directamente a Banco Azteca; universo=cartera de consumo de una institución, no hogares	institución financiera (BanCoppel); cartera de crédito al consumo; México, dic-2024	CNBV portafolio 040-1A-R16 (IMOR por tipo de cartera) y boletín de banca múltiple; Banxico IMOR por producto	gen2_cnbv_040_1a_r16_imor_tipo_cartera|3b6ac444df102a4b6cecf0a24469471940bb9cc838e82b3c304e17bc56491629|s/f; gen2_banxico_imor_consumo_producto_mensual_2026t1_html|c9691762bb6e086a08b4487f3d121ace04d74b31cfdc7e7a6c4c2512aa96c4b2|s/f		MEDIBLE-CON-ADQUISICIÓN	Corrección del supervisor (criterio de CRPOP-001/012): la serie regulatoria CNBV 040-1A-R16 es el instrumento, pero la copia registrada sólo expone el periodo cacheado 202112; el IMOR de BanCoppel al cierre de 2024 requiere la edición de ese periodo por institución.	faltante: CNBV 040-1A-R16 por institución (BanCoppel), periodo 2024-12; copia registrada gen2_cnbv_040_1a_r16_imor_tipo_cartera|3b6ac444df102a4b6cecf0a24469471940bb9cc838e82b3c304e17bc56491629|raíz data_raw sólo cubre 202112; U0 no abrió microdato		ninguna corrida con <payload_id> (u0mf --calc gen2_cnbv_040_1a_r16_imor_tipo_cartera: 0)	ASTRA5-MESA-DINERO	Descargar el 040-1A-R16 de dic-2024 por institución (flujo ReportViewer/Agrupados de CNBV), registrarlo con su sha y cotejar 6.52% contra el promedio de banca múltiple.	CONC-DOC-CNBV-IMOR-BANCOPPEL-2024		u0mf --busca cnbv -> 30/1680 entradas; incluye gen2_cnbv_040_1a_r16_imor_tipo_cartera y gen2_banxico_imor_consumo_producto_mensual_2026t1_html	DINERO	Cambiaría si el 040-1A-R16 muestra un IMOR de BanCoppel dic-2024 distinto a 6.52% o por debajo del promedio de la banca múltiple.
ASTRA5-U0-APUEST-009	apuestas-009		L37	Veredicto Caso 1: «supuesto CORRECTO. Confirma "informalidad como adaptación económica, no atraso" y "desconfianza racional, no tecnofobia"».	FUERTE	INTERPRETACION-DEL-REPORT	(a) primaria México	que el éxito estructural de Banco Azteca confirme, a nivel de patrón psicológico general, que la informalidad es adaptación económica y no tecnofobia/desconfianza	es la interpretación causal de UN caso empresarial (aunque con estudio cuasi-experimental de respaldo, apuestas-007); la generalización a 'informalidad como adaptación económica' como rasgo psicológico amplio excede lo que el estudio de Ruiz mide (sustitución de empeño por banco en municipios tratados), sin panel de actitudes ni contrafactual de otra explicación (p. ej. publicidad, cobranza semanal coercitiva)	empresa/decisión estratégica; sin universo de actitud propio distinto al de apuestas-007	no aplica (interpretación)			NO-MEDIBLE-POR-DISEÑO	interpretación que recombina apuestas-007 (cifra WB) y apuestas-008 (morosidad comparador) en una tesis psicológica general (informalidad=adaptación, no tecnofobia) sin instrumento de actitud pareado; no se identificó instrumento tras este recorrido; no equivale a imposibilidad universal; componente descriptivo ya está en apuestas-007/008.			ninguna corrida con <payload_id> (no aplica)	ASTRA5-MESA-DINERO	Ninguna operación propia; residual en apuestas-007/008	CONC-DOC-AZTECA-VEREDICTO		ver apuestas-007/008	DINERO	Cambiaría si una encuesta de actitud mostrara que los usuarios de Banco Azteca lo eligen por falta de alternativa y no por preferencia activa hacia la formalidad, o si el efecto desapareciera controlando por cobranza semanal coercitiva.
ASTRA5-U0-APUEST-010	apuestas-010	TIER-329d8c81-L47;APUESTAS-CASO-02	L40-L44	Nu México pasó de 12 a 13 millones de clientes entre julio y octubre de 2025, y alcanzó 15 millones el 15 de abril de 2026 (~15% de la población adulta); 60%+ hogares de ingresos bajos/medios-bajos, 78% fuera de grandes urbes.	FUERTE	CIFRA-PUBLICADA	mixta (empresa brasileña -Nu Holdings/Nubank- operando en México; cifra sobre clientes en México)	número de clientes de Nu México en dos cortes (oct-2025, abr-2026) y su composición socioeconómica/geográfica declarada por la empresa	es conteo de clientes de una empresa (serie temporal de un solo actor, no observación independiente de adopción nacional; ver DEDUP FINTECH-NU-CLIENTES del paquete: «los conteos Nu 13M/13.1M/15M son serie de clientes de una empresa en fechas distintas, no tres observaciones independientes de adopción nacional»); la composición socioeconómica es auto-reportada por la empresa, no verificada independientemente	cliente/cuenta Nu México; nacional; oct-2025 y abr-2026	comunicado oficial Nu México (blog.nu.com.mx, international.nubank.com.br)			MEDIBLE-CON-ADQUISICIÓN	documento primario identificado y existencia confirmada por WebSearch (24/sep/2026): blog.nu.com.mx/nu-mexico-una-financeira-solida-y-regulada-acerca-de-nu/nu-mexico-13-millones-clientes/ (oct-2025) y .../nu-mexico-15-millones-clientes/ (abr-2026); cita de Daniel Rojas confirmada. No registrado en manifiesto (u0mf --busca nu --busca holdings -> 0/1680).	faltante: comunicado oficial Nu México (blog.nu.com.mx, international.nubank.com.br)		ninguna corrida con <payload_id> (u0mf --calc: no aplica)	ASTRA5-MESA-DINERO	Registrar los dos comunicados de Nu México (oct-2025, abr-2026) en el manifiesto; cotejar composición socioeconómica declarada contra ENIF 2024 (ver apuestas-011)	CONC-DOC-NU-MEXICO-CLIENTES		u0mf --busca nu --busca holdings -> 0/1680; WebSearch "Nu México 13 millones clientes octubre 2025 15 millones abril 2026 comunicado Daniel Rojas" (24/sep/2026) -> confirma blog.nu.com.mx y international.nubank.com.br	DINERO	Cambiaría si el comunicado oficial, leído completo, no reporta las cifras exactas citadas por el report o si el corte de composición socioeconómica proviene de una fuente distinta a la declarada.
