fuente_canonica	puerta	evidencia_de_equivalencia	clasificacion_a4_de_la_puerta	capa2_agregada	en_cola	gap
ACLED	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	10	SIN-PUERTA
AHORRO FINANCIERO Y FINANCIAMI	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	47	SIN-PUERTA
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	26	SIN-PUERTA
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	27	SIN-PUERTA
BDIF	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	48	SIN-PUERTA
BIARE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
CANAL_DE_ADQUISICION_REFERIDOS_FINTECH	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	20	SIN-PUERTA
CCPV	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
CNGMD	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	28	SIN-PUERTA
COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	29	SIN-PUERTA
CSES	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	7	SIN-PUERTA
DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	21	SIN-PUERTA
DOES_CORRUPTION_INFORMATION_INSPIRE_THE_FIGHT_OR_QUASH_THE_HOPE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	30	SIN-PUERTA
EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	4	SIN-PUERTA
ELECTORAL_PRECINCT_LEVEL_DATABASE_FOR_MEXICAN_MUNICIPAL_ELECTION	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	31	SIN-PUERTA
ENAFIN	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	49	SIN-PUERTA
ENASIC	RNM_ENASIC_2022_ficha922	coincidencia de nombre exacta (ENASIC 2022 = ficha RNM 922 ya en produccion propia via SELLO-B)	EXISTE-SATISFACE	SI	NO	CON-PUERTA-CLASIFICADA
ENBIARE	RNM_ENBIARE_2021_ficha730	coincidencia de nombre exacta (ENBIARE 2021 = ficha RNM 730)	EXISTE-SATISFACE	SI	NO	CON-PUERTA-CLASIFICADA
ENCIG	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENCOAP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	17	SIN-PUERTA
ENCUCI	RNM_ENCUCI_2020_ficha647	coincidencia de nombre exacta (ENCUCI 2020 = ficha RNM 647)	EXISTE-SATISFACE	SI_O_REFERENCIADO	NO	CON-PUERTA-CLASIFICADA
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_2019_2024	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	32	SIN-PUERTA
ENCUESTA_ANUAL_DE_COMPETENCIAS_FINANCIERAS_DE_LA_POBLACION	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	33	SIN-PUERTA
ENCUP	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	51	SIN-PUERTA
ENFIH	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI	NO	SIN-PUERTA
ENIF	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	44	SIN-PUERTA
ENIGH	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENNVIH	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENOE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ENSAFI	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI	NO	SIN-PUERTA
ENVIPE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
ESTUDIOS_DE_RECHAZOS_Y_CORPUS_PRAGMATICO_DE_FELIX_BRASDEFER	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	2	SIN-PUERTA
EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
FABLE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
FINANZAS	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
FINTECH_LENDING_TO_BORROWERS_WITH_NO_CREDIT_HISTORY	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	22	SIN-PUERTA
GDELT	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	11	SIN-PUERTA
GLOBAL_PREFERENCES_SURVEY	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
GPS	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	6	SIN-PUERTA
