id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-e317fefe-01	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L9	Machismo tradicional/caballerismo son dos factores psicométricos Arciniega 2008, con muestra de diáspora; asociaciones con agresión/alexitimia no son efectos causales ni prevalencia mexicana.		PENDIENTE-ARCINIEGA	¿Qué ítems, N, dos muestras, cargas factoriales y residentes valida Arciniega; hay invariancia en México?	Arciniega et al. Journal of Counseling Psychology 2008 artículo/método por registrar	ASTRA5-MESA-GENERO	Deduplicar constructo con report pareja y marcar transferencia b.
LECTURA-e317fefe-02	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L11	Nuñez HCHS/SOL n=4426 de latinos en EE.UU. reporta betas específicos: ansiedad/hostilidad significativos, depresión/ira no; caballerismo tiene asociación con ira, no protección general.		PENDIENTE-NUNEZ	¿Qué escalas, subgrupo mexicano, coeficientes/IC, ajustes y diseño transversal sustentan cada beta?	Nuñez et al. 2016 HCHS/SOL artículo/suplemento por registrar	ASTRA5-MESA-SALUD	Conservar desenlace/significancia por fila; no inferir efecto causal ni población de México.
LECTURA-e317fefe-03	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L13	Marianismo de cinco factores, autosilenciamiento, malestar y barrera de ayuda son constructos/resultados diferentes; la validación mexicana n=454 no prueba mediación en violencia.		PENDIENTE-MARIANISMO	¿Qué ítems, población y modelo de Castillo 2010, Nuñez 2016 y Da Silva 2018 respaldan cada vínculo?	Castillo 2010 Marianismo Beliefs Scale; validación mexicana; Da Silva 2018	ASTRA5-MESA-GENERO	Distinguir escala, asociación y moderación; deduplicar con pareja/religión.
LECTURA-e317fefe-04	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L15	Wheeler n=227 parejas de origen mexicano en EE.UU. estudia demanda/retirada y calidad marital; no implica que todas las parejas mexicanas sigan patrón ni que aculturación cause cambio.		PENDIENTE-WHEELER	¿Qué residencia, instrumento diádico, estimando y control de aculturación tiene el estudio?	Wheeler et al. 2010 Journal of Marriage and Family por registrar	ASTRA5-MESA-GENERO	Marcar diáspora (b) y separar asociación de interacción causal.
LECTURA-e317fefe-05	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L17	SESNSP 2019/2025 promedio diario feminicidio+homicidio doloso y feminicidio tipificado 2021/2025 son series/categorías distintas; reclasificación e identificación de víctimas requieren auditoría.		PENDIENTE-SESNSP-MUJERES	¿Qué descarga/versión SESNSP, hechos/víctimas y fecha produce 10.54→7.67 y 1021→721; hay serie INEGI comparable?	SESNSP víctimas mujeres 2019-2025; INEGI defunciones; OCNF por registrar	ASTRA5-U2	Fechar cada tasa y no presentar caída del registro como caída probada de violencia total.
LECTURA-e317fefe-06	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L19	70->90% impunidad, <25% condenatoria y 24% asesinatos investigados como feminicidio usan cohortes, etapas judiciales y definiciones distintas; no hay seguimiento común.		PENDIENTE-IMPUNIDAD-FEMINICIDIO	¿Qué expediente y fecha MCCI/Causa en Común, numerador/denominador y enlace de casos sustenta cada razón?	MCCI investigación feminicidios; Causa en Común informe por registrar	ASTRA5-U2	Separar denuncia, clasificación, sentencia y absolución; no derivar causa de violencia.
LECTURA-e317fefe-07	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L21	46/77 participación ENOE, 73% cuidados, 23.9/26.3% PIB cuenta satélite, informalidad 55/49 y brecha salarial 14 son al menos cinco estimandos/años; no prueban jerarquía causal única.		PENDIENTE-TRABAJO-CUIDADOS	¿Qué tablas ENOE/ENUT/CSTNRHM/IMCO, periodos, unidad e imputación originan cada cifra?	ENOE 2005/2025; ENUT 2024 documentos main; CSTNRHM 2024; IMCO métodos por registrar	ASTRA5-U1	Separar participación, horas, valor imputado y salario; no transferir RESULT ENOE 2024T3.
LECTURA-e317fefe-08	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L23	Paridad constitucional, elección 2024 e incorporación presidencial son hechos de fecha/registro; ninguna variable de hogar/empresa deriva de ellos.		PENDIENTE-PARIDAD-ELECCION	¿Qué artículo constitucional vigente, cómputo INE y composición Congreso por cámara/fecha sustentan hito y porcentajes?	Constitución DOF; INE cómputos 2024; Senado/Diputados composición	ASTRA5-U2	Verificar derecho/fecha y separar representación descriptiva de efecto conductual.
LECTURA-e317fefe-09	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L25	«24 estados despenalizaron aborto al 8M 2025» requiere lista y definiciones jurídicas; sentencia SCJN, código estatal y acceso real son capas distintas.		PENDIENTE-ABORTO-ESTADOS	¿Qué expediente SCJN, reformas DOF/diarios estatales, fecha/corte y criterio de despenalización sustentan 24?	SCJN 2021/2023; legislación de 32 entidades al 8M 2025 por cotejar	ASTRA5-U2	Verificar vigencia legal por estado antes de usar total; no inferir acceso clínico.
LECTURA-e317fefe-10	corpus/reports/Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md:L27	8M/9M juvenil y digital es descripción de movilización con sesgo de cobertura; no se mide cambio actitudinal individual por observar protesta.		PENDIENTE-MOVIMIENTO-FEMINISTA	¿Qué encuesta de participantes y serie temporal capta edad, ruralidad, composición y efecto en actitudes?	Estudios 8M/9M SciELO y datos de protesta por registrar	ASTRA5-U2	Mantener pluralidad del movimiento y no extrapolar clase urbana.
