id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ENLACE	genomica-001	LECTURA-6ebfdf54-01	L11;L29;L43	Analyzing 6,011 individuals from the nationwide Mexican Biobank, the authors show striking regional differences in biomedically relevant allele frequencies, shaped by admixture and local Indigenous ancestral groups (Nahua, Zapotec, Maya).	NO-EXPLICITO	ENLACE	primaria Mexico	VER-CONTRATO: tamano (6,011 personas) y cobertura territorial (898 localidades/32 estados) del genotipado MXB, Barberena-Jonas et al. 2026	VER-CONTRATO: la amplitud geografica no certifica prevalencias nacionales representativas	persona; muestra MXB de 6,011 individuos de 898 localidades en 32 estados; no probabilistica nacional	Mexican Biobank (MXB) / MexVar, Nature Medicine 2026	Barberena-Jonas et al., Nature Medicine 2026, DOI 10.1038/s41591-025-04100-z, PDF CC BY 4.0 SHA d7da73784aa63099d602756837be9635ac56452244446a6de0bbe807709be46c pp.725-727	NO-APLICA (documento cientifico, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Enlace: contrato cerrado ASTRA5-U0-GENOM-001 ya dictamino tamano/cobertura territorial del genotipado MXB; no se remide.	SIN-ID-MANIFIESTO; documento identificado por DOI/SHA fuera de manifiesto	ninguna	ninguna corrida con este payload (documental, no aplica GEN2 de encuesta); u0mf --busca genom: 0 entradas	ASTRA5-MESA-GENOMICA	VER-CONTRATO GENOM-001; registrar DOI/SHA en manifiesto	CONC-DOC-NATMED2026-MXBTAMANO	ASTRA5-U0-GENOM-001	ENLACE a ASTRA5-U0-GENOM-001 y ficha LECTURA-6ebfdf54-01 (ejecutor previo: u0busca -q genom 0 aciertos; u0mf --busca genom 0)	GENOMICA	VER-CONTRATO
ENLACE	genomica-002	LECTURA-6ebfdf54-01	L11;L29;L43	They released MexVar, a public platform with results for 42,769 biomedically relevant genotyped variants, designed to improve access to genomic data and support genetic analyses for populations of Mexican descent worldwide.	NO-EXPLICITO	ENLACE	primaria Mexico	VER-CONTRATO: 42,769 variantes genotipadas curadas por presencia en bases biomedicas; subconjunto clinico alto nivel 58 SNP PGx/22 genes y 99 ClinVar patogenicas/probables MAF no cero/33 genes ACMG SF	VER-CONTRATO: no todas las 42,769 tienen utilidad clinica validada; catalogo de frecuencia no es accionabilidad clinica	variante genetica (no persona); catalogo derivado de la misma cohorte MXB de 6,011	MexVar, Nature Medicine 2026	Barberena-Jonas et al., Nature Medicine 2026, DOI 10.1038/s41591-025-04100-z, SHA d7da73784aa63099d602756837be9635ac56452244446a6de0bbe807709be46c pp.725-727	NO-APLICA (documento cientifico)	MEDIBLE-CON-ADQUISICIÓN	Enlace: contrato cerrado ASTRA5-U0-GENOM-002 ya separa catalogo de 42,769 del subconjunto clinico 58/99; no se remide.	SIN-ID-MANIFIESTO; documento identificado por DOI/SHA fuera de manifiesto	ninguna	ninguna corrida con este payload (documental); u0mf --busca genom: 0	ASTRA5-MESA-GENOMICA	VER-CONTRATO GENOM-002; registrar DOI/SHA en manifiesto	CONC-DOC-NATMED2026-MEXVARCATALOGO	ASTRA5-U0-GENOM-002	ENLACE a ASTRA5-U0-GENOM-002 y ficha LECTURA-6ebfdf54-01	GENOMICA	VER-CONTRATO
ENLACE	genomica-003	LECTURA-6ebfdf54-02	L12;L31-L32;L43	Clonal hematopoiesis (Nature Genetics 2025): comparing 136,401 MCPS participants to 416,118 UK Biobank individuals, CH was significantly less common in MCPS (adjusted OR = 0.59, 95% CI 0.57-0.61).	NO-EXPLICITO	ENLACE	primaria Mexico (cohorte MCPS) comparada con UK	VER-CONTRATO: MCPS n=136,401 vs UKB n=416,118 exomas filtrados, CH 3.12% vs 4.92%, OR ajustada 0.59 IC95 0.57-0.61, panel 15 genes	VER-CONTRATO: comparacion de cohortes urbanas (Coyoacan/Iztapalapa), no tasas nacionales	persona; cohorte MCPS Ciudad de Mexico, reclutada 1998-2004	Mexico City Prospective Study (MCPS), Nature Genetics 2025	Wen et al., Nature Genetics 2025, DOI 10.1038/s41588-025-02085-6, PDF CC BY 4.0 SHA b27b26fd8ed68a00541b34040dedb75649528c637d497f997cdce56dc3caeb3f pp.572-574	NO-APLICA (documento cientifico)	MEDIBLE-CON-ADQUISICIÓN	Enlace: contrato cerrado ASTRA5-U0-GENOM-003 ya cierra la comparacion CH MCPS/UKB; no se remide.	SIN-ID-MANIFIESTO; documento identificado por DOI/SHA fuera de manifiesto	ninguna	ninguna corrida con este payload (documental); u0mf --busca mcps: 0	ASTRA5-MESA-GENOMICA	VER-CONTRATO GENOM-003; registrar DOI/SHA en manifiesto	CONC-DOC-NATGEN2025-MCPSCH	ASTRA5-U0-GENOM-003	ENLACE a ASTRA5-U0-GENOM-003 y ficha LECTURA-6ebfdf54-02 (ejecutor previo: u0mf --busca mcps 0)	GENOMICA	VER-CONTRATO
ENLACE	genomica-004	LECTURA-6ebfdf54-05	L15;L45;L51	Relative to European prediction accuracy, genetic prediction accuracy was far lower in other populations: 1.6-fold lower in Hispanic/Latino Americans... for 17 quantitative traits (Martin et al., UK Biobank).	NO-EXPLICITO	ENLACE	marco importado/extranjero (UK Biobank; grupo Hispanic/Latino American, no muestra mexicana)	VER-CONTRATO: precision predictiva 1.6x menor en grupo Hispanic/Latino American vs europeo, 17 rasgos antropometricos/panel sanguineo UKB	VER-CONTRATO: no es estimador mexicano ni desenlace clinico unico; no prueba que MXB/MCPS resolvio portabilidad	persona; participantes UK Biobank autoidentificados Hispanic/Latino American	UK Biobank, Nature Genetics 2019 / preprint 2018	Martin et al., DOI 10.1038/s41588-019-0379-x; preprint bioRxiv DOI 10.1101/441261, PDF fisico SHA 1e1a19c628ab1377c176798f5a8ee467e75c28389a46f9281721600f50655699 p.11 figura 3	NO-APLICA (documento cientifico)	MEDIBLE-CON-ADQUISICIÓN	Enlace: contrato cerrado ASTRA5-U0-GENOM-004 ya cierra la comparacion relativa de precision PRS; no se remide.	SIN-ID-MANIFIESTO; documento identificado por DOI/SHA fuera de manifiesto	ninguna	ninguna corrida con este payload (documental)	ASTRA5-MESA-GENOMICA	VER-CONTRATO GENOM-004; registrar DOI/SHA en manifiesto	CONC-DOC-NATGEN2019-PRSMARTIN	ASTRA5-U0-GENOM-004	ENLACE a ASTRA5-U0-GENOM-004 y ficha LECTURA-6ebfdf54-05	GENOMICA	VER-CONTRATO
ASTRA5-U0-GENOM-005	genomica-005	LECTURA-6ebfdf54-04	L14;L41	Amerindian groups show near-absence of the CYP2D6 poor-metabolizer genotype (e.g., 0.2% in Amerindians vs 5% in Mestizos) and elevated ultrarapid-metabolizer frequency (12.6% vs 7%); Tarahumara show high CYP2C19*2 (31%).	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico (muestras amerindias/mestizas de Mexico en estudios de farmacogenetica)	Frecuencia de genotipos CYP2D6/CYP2C19 (metabolizador pobre/ultrarapido) por grupo amerindio vs mestizo mexicano; canal individual/molecular de metabolismo de farmacos, sin segmentacion conductual (firewall genetico respetado: no se infiere conducta de grupo, solo frecuencia alelica de metabolismo)	Frecuencias de estudios de muestras clinicas/regionales especificas (p.ej. Durango, Tarahumara), no encuesta poblacional representativa; no valida dosis clinica ni resultado de tratamiento por si sola	persona; grupos amerindios (Tepehuano, Tarahumara y otros) y mestizos del noroeste/norte de Mexico, muestras clinicas de estudios independientes	Estudios de farmacogenetica poblacional Mexico (Sosa-Macias et al. 2006; PMC3438817 cinco grupos amerindios y mestizos occidentales); MexVar figuras 1-3 (rs2242480 fentanilo, rs4149056 estatinas)	Sosa-Macias et al., J Clin Pharmacol 2006, DOI no confirmado esta sesion; PMC3438817 Distribution of CYP2D6 and CYP2C19 Polymorphisms... Five Amerindian Groups and Western Mestizos from Mexico, PMID 22913530, https://pmc.ncbi.nlm.nih.gov/articles/PMC3438817/ ; MexVar Nature Medicine 2026 Figuras 1-3	NO-APLICA (genotipado de laboratorio, no reactivo de encuesta); codigos por extraer de MexVar Figuras 1-3	MEDIBLE-CON-ADQUISICIÓN	Documentos identificados (PMC3438817 con PMID, Sosa-Macias 2006, MexVar) via busqueda oficial (PubMed/PMC); existencia e identidad comprobadas; faltante: registrar en manifiesto y cotejar el porcentaje exacto por figura/tabla.	SIN-ID-MANIFIESTO; PMC3438817 identificado por PMID 22913530	ninguna	ninguna corrida con este payload; u0busca -q farmacogen|CYP2D6|CYP2C19|metaboliza: 0 aciertos con texto en corpus de encuestas (confirma que no hay instrumento de encuesta que mida esto)	ASTRA5-MESA-GENOMICA	Registrar PMC3438817 y Sosa-Macias 2006 en manifiesto; cotejar porcentajes 0.2/5/12.6/7/31% contra tabla exacta de cada estudio y MexVar Fig.1-3	CONC-DOC-PMC3438817-CYP2D6CYP2C19		WebSearch (ejecutor previo) CYP2D6 poor metabolizer Amerindian Mestizo Mexico -> PMC3438817/PMID22913530, Sosa-Macias 2006 (oficial PubMed/PMC); u0busca -q farmacogen|CYP2D6|CYP2C19|metaboliza -> 0 aciertos con texto (113780 con texto revisados)	GENOMICA	Cambiaria si un estudio con muestra representativa nacional mexicana (no clinica local) reporta frecuencias distintas, o si CPIC/DPWG publica guia especifica para poblacion mexicana que contradiga estos valores
ASTRA5-U0-GENOM-006	genomica-006	LECTURA-6ebfdf54-03;CAND-6ebfdf54-L4	L4;L13;L39	MUC19: one in three modern people of Mexican ancestry carry a copy of the Denisovan variant, versus ~1% of Central European ancestry, concentrated in Indigenous-American ancestry segments; validated in 23 ancient individuals (Villanea et al., Science 2025).	NO-EXPLICITO	CIFRA-PUBLICADA	mixta: muestra MXL 1000 Genomes es diaspora/mexicano-americana (Los Angeles), no residentes en Mexico	Frecuencia de tramos introgresados que solapan MUC19: 0.305 en MXL (tabla S2, texto principal p.2), frente a ~0.183 AMR y ~0.087 no-AMR (tabla S1); hallazgo de historia evolutiva/seleccion, canal molecular sin funcion caracterizada (firewall genetico respetado: no hay inferencia de conducta, solo frecuencia de un tramo de ADN sin fenotipo asociado)	MXL es muestra de personas de ascendencia mexicana en Los Angeles (1000 Genomes), no poblacion residente en Mexico; el 0.305 no se traduce automaticamente a la frase popular 'uno de tres mexicanos'; funcion clinica/fenotipica de la variante NO caracterizada; seleccion inferida, no ensayo funcional	persona; individuos de la muestra MXL de 1000 Genomes (ascendencia mexicana, Los Angeles) y 23 individuos antiguos de Alaska/California/Mexico	Villanea et al., Science 2025 (1000 Genomes MXL)	Villanea et al., Science 389:eadl0882 (2025), DOI 10.1126/science.adl0882, copia de autor villanealab.com/publications, PDF fisico SHA 702f6a0cf4d4e797af836423454ac8160fcebc09536d0f3c24c4ce949a475f1b pp.1-3, tablas S1/S2	NO-APLICA (secuenciacion de ADN, no reactivo de encuesta)	MEDIBLE-CON-ADQUISICIÓN	Documento primario identificado, con SHA de copia fisica leida (pp.1-3) y cifras exactas de tabla S1/S2 ya extraidas; faltante: registrar en manifiesto (SIN-ID) y cotejar suplemento completo antes de convertir 0.305 en conteo de portadores por persona.	SIN-ID-MANIFIESTO; DOI 10.1126/science.adl0882, SHA copia fisica 702f6a0cf4d4e797af836423454ac8160fcebc09536d0f3c24c4ce949a475f1b	ninguna	ninguna corrida con este payload; u0pdf -q MexVar|MUC19 -> 0 coincidencias en los 349 PDF del corpus (confirma ausencia de instrumento de encuesta)	ASTRA5-MESA-GENOMICA	Registrar DOI/SHA en manifiesto; leer suplementos S1/S2 completos para fijar ploidia y denominador exacto antes de citar proporcion de portadores por persona	CONC-DOC-SCIENCE2025-MUC19		(ejecutor previo) u0pdf -q MexVar|MUC19 -> 0 coincidencias (349 PDF examinados); WebSearch Villanea Peede Huerta-Sanchez MUC19 Science 2025 Denisovan Mexican ancestry -> science.org DOI 10.1126/science.adl0882 (primaria); ficha LECTURA-6ebfdf54-03 ya cita pp.1-3 con SHA de copia fisica	GENOMICA	Cambiaria si un ensayo funcional muestra efecto fenotipico/clinico de la variante, o si se mide la frecuencia en una muestra probabilistica de poblacion residente en Mexico continental (no MXL-diaspora)
ASTRA5-U0-GENOM-007	genomica-007	LECTURA-6ebfdf54-02	L12;L33-L34	Type 2 diabetes and mortality (The Lancet Regional Health-Americas, 2025): a Mendelian randomization analysis. Prediabetes and mortality (J Clin Endocrinol Metab, 2025; 114,062 adults). MCPS contributed to discovery of GPR75 and MAP3K15 drug targets.	NO-EXPLICITO	CIFRA-PUBLICADA	primaria Mexico (cohorte MCPS)	Tres productos distintos de la misma cohorte MCPS no cubiertos por el contrato GENOM-003 (que solo cierra hematopoyesis clonal): (a) MR de T2D y mortalidad por causa especifica; (b) prediabetes y mortalidad n=114,062; (c) dianas de farmaco GPR75/MAP3K15 con frecuencias alelicas publicas en rgc-mcps.regeneron.com	Tres estudios/desenlaces distintos que no comparten estimando; no se agregan en una sola cifra; MR no establece causalidad poblacional fuera del diseno del estudio	persona; cohorte MCPS Ciudad de Mexico, distintos subconjuntos por estudio	MCPS, The Lancet Regional Health-Americas 2025; MCPS, J Clin Endocrinol Metab 2025; MCPS/Regeneron Genetics Center rgc-mcps.regeneron.com	NO-COMPROBADO esta sesion: solo titulo/revista/anio citados por el report, sin DOI ni pagina verificados de forma independiente	NO-APLICA	PENDIENTE-VERIFICACION-DOCUMENTAL	No se localizo el DOI/articulo exacto de ninguno de los tres productos en esta sesion (0 busquedas web dedicadas por presupuesto del lote); el report da titulo de revista y anio pero no basta para comprobar identidad completa (art.132 de la regla documental pide emisor+titulo+fecha+DOI/URL).		ninguna	ninguna corrida con este payload	ASTRA5-MESA-GENOMICA	Localizar DOI de: (a) MR T2D-mortalidad Lancet Regional Health-Americas 2025; (b) prediabetes-mortalidad JCEM 2025 n=114,062; (c) verificar acceso a rgc-mcps.regeneron.com y su cobertura de GPR75/MAP3K15	CONC-DOC-MCPS2025-OTROSFENOTIPOS		No se corrio busqueda web adicional para estos tres items en este lote (presupuesto de 12 consultas ya usado por ejecutor previo en items de mayor prioridad); u0mf --busca mcps -> 0 (ejecutor previo)	GENOMICA	Se resuelve si se localiza el DOI de cada articulo y se coteja el resultado contra el resumen del report
ASTRA5-U0-GENOM-008	genomica-008	LECTURA-6ebfdf54-05	L15;L45	No clinically validated Mexican PRS is in routine use.	NO-EXPLICITO	CIFRA-PUBLICADA	no-aplica (afirmacion de ausencia)	Ausencia de un PRS mexicano validado clinicamente y desplegado en uso rutinario en el sistema de salud	Afirmacion de ausencia sin universo de busqueda declarado por el report (no cita registro de ensayos ni de dispositivos consultado)	persona; sistema de salud mexicano (publico/privado), sin universo muestral definido	NO-APLICA (ausencia documental, no instrumento de encuesta)	NO-COMPROBADO esta sesion	NO-APLICA	PENDIENTE-VERIFICACION-DOCUMENTAL	Clasificacion negativa (A.4): no se declaro ni se corrio en este lote un barrido de registros COFEPRIS de dispositivos SaMD ni de registros de ensayos clinicos mexicanos que descarte un PRS mexicano validado; sin ese barrido la ausencia no es verificable, solo reportada por el report.		ninguna	ninguna corrida con este payload	ASTRA5-MESA-GENOMICA	Revisar registro COFEPRIS de dispositivos SaMD y bases de ensayos clinicos (ClinicalTrials.gov Mexico) por PRS mexicano antes de sostener la ausencia	CONC-DOC-GENOMICA-AUSENCIAPRS		Sin busqueda dedicada en este lote (presupuesto web agotado por ejecutor previo)	GENOMICA	Se refuta si aparece un registro COFEPRIS o ensayo clinico registrado de un PRS mexicano en uso clinico
ASTRA5-U0-GENOM-009	genomica-009	LECTURA-6ebfdf54-06;CAND-6ebfdf54-L5	L18;L57	The Mexico genomics market size reached USD 460.80 Million in 2024 (IMARC Group).	NO-EXPLICITO	CIFRA-PUBLICADA	no-aplica (estimacion comercial de consultora, no dato oficial mexicano)	Estimacion de tamano de mercado 2024 de una consultora comercial (IMARC); es la base estimada del ANIO YA PUBLICADO, por tanto documental (no proyeccion futura)	No es dato censal ni oficial; metodologia de estimacion no publica; la ficha vigente de IMARC capturada 24/sep/2026 (report ID SR112026A33842) muestra una edicion DISTINTA (base 2025 = USD 518.9M, meta 2034 = USD 1540.4M, CAGR 12.47%), lo que sugiere que la edicion citada por el report (460.80M/2033/12.60%) es una version anterior no localizada en el sitio vigente del emisor	empresa/mercado; Mexico, sector genomica, ano base 2024	IMARC Group, Mexico Genomics Market (edicion no localizada, citada por el report)	Ficha IMARC VIGENTE (distinta edicion): https://www.imarcgroup.com/mexico-genomics-market, captura HTML SHA d3d3a4a5355f4456edf8b33b2df0ce09afad89c8566358ddf63e814a0558159e, report ID SR112026A33842, capturada 2026-09-24. Edicion 2024-33 citada por el report: SIN LOCALIZAR	NO-APLICA	PENDIENTE-VERIFICACION-DOCUMENTAL	La base estimada del ano publicado (2024) es en principio documental, pero la edicion exacta que respalda 460.80M/12.60%/2033 no coincide con la ficha vigente del emisor (que ahora muestra 2025/518.9M/12.47%/2034); no se puede confirmar la existencia de esa edicion especifica sin localizar un archivo historico (p.ej. Wayback Machine) del sitio del emisor, lo que no se hizo en este lote por presupuesto web.	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con este payload	ASTRA5-MESA-MERCADO	Buscar edicion historica de IMARC (Wayback Machine u otra captura) que respalde 460.80M/2033/12.60%; si no aparece, degradar a NO-LOCALIZADO y usar solo la ficha vigente 2025-34	CONC-DOC-IMARC2024BASE		Ficha del paquete ya registra la ficha vigente (captura 24/sep/2026, SHA d3d3a4a5...) como distinta de la cifra citada por el report; no se corrio busqueda adicional de archivo historico en este lote	GENOMICA	Se resuelve si aparece una captura historica de imarcgroup.com/mexico-genomics-market con 460.80M/2033/12.60% fechada antes de la edicion vigente
ASTRA5-U0-GENOM-010	genomica-010	LECTURA-6ebfdf54-06;CAND-6ebfdf54-L5	L18;L57	Mexico genomics market... expects the market to reach USD 1509.72 Million by 2033, exhibiting a growth rate (CAGR) of 12.60% during 2025-2033 (IMARC Group).	NO-EXPLICITO	CIFRA-PUBLICADA	no-aplica (proyeccion comercial de consultora)	Proyeccion de mercado a 2033 (valor futuro) y tasa CAGR proyectada	El valor futuro (2033) no es observable hoy por diseno (instruccion del lote); es una proyeccion de consultora, no una venta observada; ademas la edicion vigente del emisor ya reemplazo esta cifra por una meta 2034 distinta (1540.4M, CAGR 12.47%)	empresa/mercado; Mexico, sector genomica, proyeccion 2025-2033	IMARC Group (edicion no localizada)	Ficha IMARC vigente (edicion distinta): https://www.imarcgroup.com/mexico-genomics-market SHA d3d3a4a5355f4456edf8b33b2df0ce09afad89c8566358ddf63e814a0558159e	NO-APLICA	NO-MEDIBLE-POR-DISEÑO	Proyeccion de mercado a futuro (2033): el valor futuro no es observable hoy por diseno, segun instruccion explicita del lote; no se identifico instrumento tras este recorrido que pueda observar una venta 2033 hoy; no equivale a imposibilidad universal (en 2033 sera observable con la serie real, si existe).	SIN-ID-MANIFIESTO	ninguna	ninguna corrida con este payload	ASTRA5-MESA-MERCADO	Tratar 1509.72M/12.60%/2033 como proyeccion fechada de una consultora, nunca como venta observada; monitorear ediciones futuras de IMARC para ver si la proyeccion se revisa (ya se reviso una vez, a 2034/1540.4M)	CONC-DOC-IMARC2033PROY		Ver genomica-009	GENOMICA	Solo se falsa retrospectivamente cuando exista una serie observada del mercado real en 2033 que se compare contra la proyeccion; hasta entonces ningun dato de hoy puede refutarla ni confirmarla
