id_afirmacion	fila_local	unidades	localizador	texto_vigente	tier_report	clase	procedencia_evidencia	componente_contrastable	limite_inferencial	conducta_unidad_universo	instrumento_ola	documento_id_hash_pagina	pregunta_textual_codigo_respuestas	dictamen	dictamen_razon	datos_id_estado	reserva	gen2_existente	propietario_propuesto	siguiente_operacion	dedup_concepto	contrato_existente	busqueda_a13	dominio	falsador
ENLACE	transversal-001	LECTURA-2ead6a5a-19;LECTURA-2ead6a5a-32	L131-L133; L203-L205	México obtuvo 27/100 en el Índice de Percepción de Corrupción 2025 de Transparencia Internacional, ubicándose 141° de 182 países. Su puntuación de 2024 (26) fue la peor jamás registrada.	NO-EXPLÍCITO	ENLACE	(c) marco importado (agregado de percepción experta/empresarial internacional)	VER-CONTRATO ASTRA5-U0-MER-008: puntuación 27/100, cambio +1 vs 2024, posición 141/182 en la ficha primaria de Transparencia Internacional para México 2025.	VER-CONTRATO: el IPC no mide experiencia de víctimas de corrupción, corrupción comprobada ni causalidad de mérito; es percepción experta/empresarial agregada por país.	País México comparado con 182 países y territorios; no es muestra individual de mexicanos.	Transparency International, Índice de Percepción de la Corrupción 2025	SIN-ID:transparency_cpi2025_mexico.html|988f7f990613934e5344a1468544cfa6f8af21ffe2d1a16aca66ac6864434977|ficha México, captura física 23-sep-2026 (VER-CONTRATO)	No hay reactivo único de ciudadano; combinación estandarizada de al menos tres fuentes entre trece encuestas/evaluaciones de expertos y empresarios.	MEDIBLE-CON-ADQUISICIÓN	VER-CONTRATO ASTRA5-U0-MER-008: ficha primaria de México cotejada y capturada con SHA; falta id documental en main. El transversal repite exactamente la misma cifra (27/100, 141/182, 2024=26) que el contrato ya cerrado en el mapa base; no aporta cifra nueva del IPC. El residuo propio del transversal (historia de corrupción por fases, PRI 71 años, informalidad 54.8%) se trata en filas separadas (transversal-013) por ser un componente distinto (mecanismo histórico e informalidad, no el índice).	SIN-ID:transparency_cpi2025_mexico.html|988f7f990613934e5344a1468544cfa6f8af21ffe2d1a16aca66ac6864434977|captura física 23-sep-2026; sin registro en main; U0 no abrió microdato	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica, sin payload_id)	ASTRA5-MESA-DOCUMENTAL / ASTRA5-U3	VER-CONTRATO: MESA-DOCUMENTAL registra referencia/licencia/SHA de captura; U3 conserva 27/100 separado de ENCIG y de la tesis causal de palancas.	CONC-DOC-TI-CPI-2025-MEXICO	ASTRA5-U0-MER-008	u0mf --busca transparency: 0 de 1680; u0mf --busca cpi: 0 de 1680 (documento del contrato MER-008 sigue sin registrar en manifiesto); buscar_lotes_transversal.py 'MER-008' -> 3 aciertos (merito-filas MER-035, MER-036 y mapa-parcial-v0_1 ASTRA5-U0-MER-008, confirmando contrato cerrado).	CONFIANZA	Cambiaría si Transparencia Internacional revisara la puntuación 2025 de México en una fe de erratas, o si se registrara el documento en manifiesto con una cifra distinta a 27/100.
ASTRA5-U0-SINT-001	transversal-002	LECTURA-2ead6a5a-04	L31-L33	México obtuvo una puntuación de rigidez de 7.2 (media de 33 naciones: 6.5) en el marco de Michele Gelfand (2011, Science). Los datos provienen de 221 participantes en Ciudad de México (media de edad 27.7).	NO-EXPLÍCITO	CIFRA-PUBLICADA	(c) marco importado	Puntuación de tightness-looseness de México en el instrumento de Gelfand et al. (2011), muestra de 221 participantes de Ciudad de México.	221 estudiantes/adultos de CDMX (media 27.7 años) no representan a México; no mide rigidez normativa de otras regiones ni grupos etarios; comparación contra Brasil/Venezuela usa otras muestras nacionales no comparables entre sí en tamaño ni método.	Persona; muestra de conveniencia de Ciudad de México, no probabilística ni nacional.	Gelfand et al. (2011), Science, material suplementario (33 naciones)	SIN-ID-MANIFIESTO	No verificado en este lote (documento no registrado ni leído vía web en esta sesión).	PENDIENTE-VERIFICACION-DOCUMENTAL	No se pudo comprobar el documento primario en esta sesión: sin presupuesto de búsqueda web (la sesión ya había agotado su cupo de WebSearch al momento de intentarlo) y el artículo/material suplementario no está en el manifiesto. No hay otro report del corpus recorrido (30 lotes) que cite a Gelfand (0 aciertos en búsqueda dedicada).	SIN-ID-MANIFIESTO; u0mf --busca gelfand: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-INTERACCION	Adquirir Gelfand, M. (2011) 'Differences Between Tight and Loose Cultures', Science 332(6033), y su material suplementario; registrar en manifiesto con sha256 antes de dictaminar.	CONC-DOC-GELFAND-TIGHTNESS-2011		buscar_lotes_transversal.py 'Gelfand' -> 0 aciertos en 30 lotes-filas; u0mf --busca gelfand -> 0 de 1680; WebSearch no ejecutado: cupo de búsqueda web de la sesión ya agotado al momento del intento.	INTERACCION	Cambiaría si el material suplementario de Gelfand (2011) no reporta 7.2 para México, o si una réplica con muestra nacional probabilística difiere sustancialmente de la muestra de 221 de CDMX.
ASTRA5-U0-SINT-002	transversal-003	LECTURA-2ead6a5a-07	L53-L57	La tipología de síndromes activos vs. pasivos (1967) de Díaz-Guerrero describe dos estilos de afrontamiento: el pasivo (automodificación) como culturalmente dominante en México vs. el activo (modificación del entorno)... más común en poblaciones tradicionales, de bajo NSE y menos educadas.	NO-EXPLÍCITO	CONCLUSION-DE-ESTUDIO	(a) primaria México	Prevalencia del estilo de afrontamiento activo/internamente-dirigido vs. pasivo/obediente en la tipología original de Díaz-Guerrero (1967) y sus actualizaciones (Díaz-Loving et al. 2011-2017; volumen Springer 2019).	Las PHSC de Díaz-Guerrero ya están parcialmente en corpus vía otros lotes (obediencia afiliativa, abnegación); el residuo propio de esta unidad es la tipología activo/pasivo de 1967 y sus muestras/olas de actualización, no citadas aún con instrumento y n exactos.	Persona; muestras históricas de Díaz-Guerrero (décadas de 1960-70) y actualizaciones de Díaz-Loving (2011-2017), NSE y escolaridad como covariables declaradas por el propio autor.	Díaz-Guerrero (1967) tipología de síndromes; Díaz-Loving et al. (2011-2017); Springer (2019) 'Ethnopsychology: Pieces from the Mexican Research Gallery'	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	Documento primario no registrado en manifiesto y no verificado por web en esta sesión (cupo agotado); el componente PHSC general ya cubierto por EMOC-011/FAM-019/PAREJA-040, pero la tipología activo/pasivo de 1967 específica no aparece en ningún lote temático recorrido.	SIN-ID-MANIFIESTO; u0mf --busca diaz-guerrero: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-FAMILIA	Adquirir Díaz-Guerrero (1967) y el volumen Springer 2019; cotejar la tipología activo/pasivo contra las PHSC ya dictaminadas en EMOC-011 para evitar doble conteo.	CONC-DOC-DIAZGUERRERO-SINDROMES-1967		buscar_lotes_transversal.py 'síndromes activos' -> 0 aciertos; 'PHSC' -> 3 aciertos (EMOC-011, FAM-019, PAREJA-040, ya dedup en G07 principal); u0mf --busca diaz-guerrero -> 0 de 1680.	SALUD_MENTAL	Cambiaría si el texto original de 1967 no sostiene la asociación NSE/escolaridad con estilo pasivo, o si las actualizaciones de Díaz-Loving reportan convergencia entre estilos por cohorte.
ASTRA5-U0-SINT-003	transversal-004	LECTURA-2ead6a5a-08	L59-L63	Paz propuso que el mexicano usa máscaras... Ramos postuló un complejo de inferioridad colectivo... Bartra: el 'carácter nacional' atribuido a los mexicanos es una construcción política y cultural, no una realidad psicológica.	NO-EXPLÍCITO	MARCO-TEORICO	no-aplica (ensayo filosófico/crítica cultural, no dato empírico)	No hay componente observable: son tesis de ensayo filosófico (Paz, Ramos) y su crítica académica (Bartra), explícitamente calificadas por el propio report como 'interpretación literario-filosófica, no evidencia empírica'.	El propio report declara que las críticas académicas a Paz y Ramos son 'esencialistas, homogeneizantes... basados en interpretación literario-filosófica, no en evidencia empírica'; no hay instrumento psicométrico que mida 'máscaras', 'soledad existencial' o 'complejo de inferioridad colectivo' como rasgos poblacionales.	No aplica (tesis ensayística sobre 'el mexicano' como categoría filosófica, no persona/hogar/universo muestreado).	Paz, El laberinto de la soledad (1950); Ramos, El perfil del hombre y la cultura en México (1934); Bartra, La jaula de la melancolía (1987)	SIN-ID-MANIFIESTO	No aplica (ensayo, no cuestionario).	NO-MEDIBLE-POR-DISEÑO	Constructo (máscaras, orfandad histórica, complejo de inferioridad, carácter nacional) que ningún instrumento recorrido en este lote ni en los 30 lotes temáticos pregunta directamente; es explícitamente crítica literario-filosófica según el propio texto, sin desenlace observable a nivel individuo. No se identificó instrumento tras este recorrido; no equivale a imposibilidad universal. Búsqueda: buscar_lotes_transversal.py 'laberinto de la soledad'/'pelado'/'jaula de la melancolía' -> 0 aciertos en 30 lotes; AUTOR-027 toca un punto tangencial (obediencia internalizada vs. cumplimiento estratégico apoyado en Bartra/Paz) pero es una afirmación distinta.	SIN-ID-MANIFIESTO; ensayo filosófico, no dato de encuesta	No aplica	ninguna corrida (marco teórico, u0mf --calc no aplica)	ASTRA5-U0	Mantener como marco debatido sin contrato de medición ficticio (ya es la recomendación del propio ficha F08 de Codex).	CONC-DOC-PAZ-RAMOS-BARTRA-MITO-NACIONAL		buscar_lotes_transversal.py 'laberinto de la soledad' -> 0; 'pelado' -> 0; 'jaula de la melancolía' -> 0; 'Bartra' -> 1 acierto (AUTOR-027, afirmación distinta sobre obediencia/cumplimiento).	CONOCIMIENTO	Ningún diseño lo mediría como rasgo poblacional; cambiaría de clase si se acotara a una tesis operacionalizable y contrastable (p. ej. un ítem validado de 'máscara social' aplicado a muestra probabilística), lo que estos textos no ofrecen.
ASTRA5-U0-SINT-004	transversal-005	LECTURA-2ead6a5a-11;LECTURA-2ead6a5a-31	L87; L199-L201	Ramírez-Esparza et al.: bilingües mexicano-americanos puntúan más bajo en simpatía en autorreportes cuando son evaluados en español, pero muestran más conductas de simpatía en interacciones conducidas en español.	NO-EXPLÍCITO	CONCLUSION-DE-ESTUDIO	(b) muestra mexicano-americana / diáspora	Discrepancia autorreporte-vs-conducta observada de simpatía según idioma de evaluación, en bilingües mexicano-americanos.	Muestra de diáspora (mexicano-americanos bilingües en EE.UU.), no residentes en México; no es evidencia directa sobre la población mexicana pese a que el report la usa para caracterizar 'la simpatía mexicana' en general.	Persona bilingüe mexicano-americana; universo de estudios de psicología social en EE.UU., no muestreo en México.	Ramírez-Esparza et al. (estudio de autorreporte y conducta observada en interacciones en español vs. inglés)	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	Documento no registrado en manifiesto; no verificado por web (cupo agotado). Ningún lote temático recorrido (interacción, emociones-morales) cita a Ramírez-Esparza pese a que ambos cubren simpatía con Gabrielidis (1997) y la Escala de Acevedo (2020).	SIN-ID-MANIFIESTO; u0mf --busca ramirez-esparza: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-INTERACCION	Adquirir el estudio de Ramírez-Esparza sobre código-switching y simpatía; marcarlo (b) diáspora al registrarlo, sin generalizar a México.	CONC-DOC-RAMIREZ-ESPARZA-SIMPATIA-BILINGUE		buscar_lotes_transversal.py 'Ramírez-Esparza' -> 0 aciertos; 'bilingües' -> 0 aciertos; 'Gabrielidis' -> 1 acierto (INTER-014, afirmación distinta ya dedup en G11 principal).	INTERACCION	Cambiaría si una réplica con población residente en México (no diáspora) no reproduce la discrepancia autorreporte/conducta por idioma.
ASTRA5-U0-SINT-005	transversal-006	LECTURA-2ead6a5a-12	L91-L93	Un estudio PMC (Rosengren et al.) encontró que niños en Puebla mantienen comprensión biológica de la muerte simultáneamente con creencias espirituales de que los muertos regresan durante el Día de Muertos. Una tesis de Portland State analizó el festival como conteniendo 'muchos componentes psicológicos independientemente efectivos'.	NO-EXPLÍCITO	CONCLUSION-DE-ESTUDIO	(a) primaria México (niños de Puebla)	Coexistencia de comprensión biológica de la muerte y creencia en el regreso espiritual de los muertos, en niños de Puebla (Rosengren et al.).	Estudio etnográfico/cualitativo de un lugar (Puebla) y una tesis de maestría (Portland State) sobre el Día de Muertos como 'procesamiento culturalmente sancionado del duelo'; esta última es interpretación cualitativa, no desenlace medido, y no se generaliza a México sin muestra ni instrumento comparables.	Niño; muestra localizada en Puebla, tamaño y edad no citados en el report.	Rosengren et al., artículo indexado en PMC; tesis de maestría, Portland State University	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	Documentos no registrados en manifiesto; no verificados por web (cupo agotado). El componente interpretativo del duelo cultural (tesis Portland State) no tiene desenlace observable propio más allá de la etnografía citada; el estudio de Rosengren sí es un hallazgo empírico localizado, pendiente de adquisición.	SIN-ID-MANIFIESTO; u0mf --busca rosengren: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-CULTURA	Adquirir el artículo PMC de Rosengren et al. y la tesis de Portland State; separar el hallazgo empírico (comprensión infantil de la muerte) de la interpretación cualitativa del festival.	CONC-DOC-ROSENGREN-MUERTE-INFANTIL-PUEBLA		buscar_lotes_transversal.py 'Rosengren' -> 0; 'Día de Muertos' -> 0; 'albur' -> 2 aciertos (HUM-032, INTER-010, afirmación distinta ya dedup en G12 principal).	SALUD_MENTAL	Cambiaría si el artículo de Rosengren no reporta coexistencia biológica/espiritual en la muestra citada, o si otro sitio de campo (fuera de Puebla) no reproduce el patrón.
ASTRA5-U0-SINT-006	transversal-007	LECTURA-2ead6a5a-13	L97-L101	Ross, Mirowsky y Cockerham (1983) encontraron que los individuos más fatalistas presentaban mayores niveles de malestar psicológico... Un estudio de sobrevivientes hispanas de cáncer de mama (MDPI, 2024) encontró que las mexicanas reportaban fatalismos más altos que las colombianas... Ramondt y Ramírez (2017) argumentan que el 'fatalismo' puede reflejar una evaluación precisa de oportunidades estructurales limitadas.	NO-EXPLÍCITO	CONCLUSION-DE-ESTUDIO	mixta ((a) parcialmente México vía estudio MDPI; marco general no localizado a México)	Asociación fatalismo-malestar psicológico (Ross/Mirowsky 1983) y distinción fatalismo activo/pasivo con su correlato en locus de control externo y afrontamiento (estudio MDPI 2024 en sobrevivientes de cáncer de mama mexicanas vs. colombianas).	Ross/Mirowsky (1983) es un estudio en EE.UU., no en México, usado aquí como marco general; el estudio MDPI es de una subpoblación clínica específica (sobrevivientes de cáncer de mama) y no representa fatalismo general de la población mexicana; Ramondt/Ramírez es una crítica conceptual, no un hallazgo con desenlace propio.	Persona; muestra clínica específica (sobrevivientes hispanas de cáncer de mama, comparación México-Colombia) en el caso MDPI; muestra general no mexicana en Ross/Mirowsky.	Ross, Mirowsky y Cockerham (1983, American Journal of Community Psychology); estudio MDPI (2024); Ramondt y Ramírez (2017)	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	Documentos no registrados en manifiesto; no verificados por web (cupo agotado). El punto interpretativo general 'fatalismo=adaptación racional/barrera estructural' ya está dictaminado en RELIG-016/017/018 y AUTOR-019 (dedup, ver G13 principal); el residuo propio de esta unidad son los tres estudios específicos (Ross/Mirowsky, MDPI cáncer, Ramondt/Ramírez) que ningún otro lote recorrido cita.	SIN-ID-MANIFIESTO; u0mf --busca ross mirowsky: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-SALUD	Adquirir los tres documentos; cotejar si el estudio MDPI mexicano-colombiano da un desenlace comparable a RELIG-017 (Pew 2014, 40% atribuye éxito a fuerzas externas).	CONC-DOC-FATALISMO-ACTIVO-PASIVO-ROSSMIROWSKY-MDPI		buscar_lotes_transversal.py 'Ross, Mirowsky' -> 0; 'cáncer' -> 0; 'MDPI' -> 0; 'Ramondt' -> 0; 'fatalismo' -> 6 aciertos (RELIG-016/017/018, AUTOR-019, ya dedup en G13 principal, estudios distintos).	SALUD_MENTAL	Cambiaría si el estudio MDPI no reporta diferencia México-Colombia al reanalizarlo, o si Ross/Mirowsky (1983) no sostiene la mediación clase social→fatalismo→malestar en una réplica.
ASTRA5-U0-SINT-007	transversal-008	LECTURA-2ead6a5a-14	L103-L107	Vergüenza... 'tan profundo que impacta el comportamiento relacionado con la expresión de enfermedad mental y la aceptación de conducta social' (Fontes, 2007). En encuestas de Mirande (1988), 52% de hombres latinos describieron el machismo negativamente, 12% neutral, y 35% como fuente de orgullo y honor.	NO-EXPLÍCITO	CIFRA-PUBLICADA	(b) muestra latina/mexicano-americana (Mirande, hombres latinos en EE.UU.); Fontes sin universo geográfico declarado en el report	Distribución de valoración del machismo (negativa/neutral/fuente de orgullo) en la encuesta de Mirande (1988) entre hombres latinos; constructo de vergüenza como mecanismo regulador (Fontes 2007).	Mirande (1988) es una encuesta de hombres latinos, no necesariamente residentes en México (posible (b) diáspora); Fontes (2007) no tiene universo geográfico ni n declarados en el report; ninguno de los dos permite inferir prevalencia actual en población mexicana.	Persona (hombre latino autoidentificado); universo de la encuesta de Mirande no especificado por el report (país, n, año de aplicación).	Fontes (2007); Mirande (1988), encuesta a hombres latinos	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	Documentos no registrados en manifiesto; no verificados por web (cupo agotado). El machismo/caballerismo bifactorial (Arciniega et al. 2008) ya está dedup en EMOC-014/GEN-002/INTER-025; Fontes y Mirande son fuentes distintas sin acierto en ningún lote recorrido.	SIN-ID-MANIFIESTO; u0mf --busca fontes mirande: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-SALUD	Adquirir Fontes (2007) y Mirande (1988); verificar si Mirande es muestra de EE.UU. o México antes de citarlo como evidencia sobre México.	CONC-DOC-VERGUENZA-FONTES-MIRANDE-MACHISMO		buscar_lotes_transversal.py 'vergüenza' -> 0; 'Fontes' -> 0; 'Mirande' -> 0; 'Arciniega' -> 6 aciertos (EMOC-014, GEN-002/023, INTER-025, ya dedup en G14 principal).	EMOCIONES_MORALES	Cambiaría si Mirande (1988) resulta ser muestra mexicana probabilística con distribución distinta, o si Fontes (2007) no sostiene el vínculo vergüenza-búsqueda de ayuda en salud mental.
ASTRA5-U0-SINT-008	transversal-009	LECTURA-2ead6a5a-15	L111	Datos del Centro Espinosa Yglesias (EMOVI-2011, N=11,001) revelan que 49 de cada 100 personas nacidas en el quintil más bajo permanecen ahí toda su vida... El 57% de quienes nacen en hogares privilegiados retienen su posición. La brecha de género es significativa: 75 de 100 mujeres nacidas en el grupo más bajo no superan la pobreza vs. 71 de 100 hombres.	NO-EXPLÍCITO	CIFRA-PUBLICADA	(a) primaria México	Movilidad social intergeneracional por quintil de origen y por sexo, edición EMOVI-2011 del CEEY, N=11,001.	EMOVI-2011 es una ola distinta de ESRU-EMOVI-2023/2025 ya dedup en clasemediero (50/100, 2/100 al quintil más alto); no son la misma cohorte ni el mismo levantamiento (cruce TRANS-EMOVI-OLAS del paquete). No fundir ambas cifras como si fueran la misma medición.	Persona adulta; encuesta nacional CEEY-EMOVI 2011, N=11,001, por quintil de origen socioeconómico y sexo.	Centro de Estudios Espinosa Yglesias (CEEY), EMOVI 2011	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	Documento EMOVI-2011 no registrado en manifiesto; no verificado por web (cupo agotado). Clasemediero ya dictaminó ESRU-EMOVI-2023 (CEEY, Informe de Movilidad Social 2025) con cifras distintas (50/100, colorismo 57%/34%); EMOVI-2011 con N=11,001 y brecha de género 75/71 no tiene acierto en ningún lote recorrido.	SIN-ID-MANIFIESTO; u0mf --busca emovi 2011: 0 de 1680 entradas (no registrado en manifiesto)	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-ESTATUS	Adquirir el reporte EMOVI 2011 del CEEY; cotejar contra ESRU-EMOVI 2023 ya dictaminado en CLASE (ENLACE/CLASE-011) sin fundir olas.	CONC-DOC-CEEY-EMOVI-2011		buscar_lotes_transversal.py 'EMOVI-2011' -> 0; '11,001' -> 0; '49 de cada 100' -> 0; 'CEEY' -> 7 aciertos (todos ESRU-EMOVI-2023/2025, ola distinta, ya dedup en clasemediero).	MOVILIDAD	Cambiaría si el informe EMOVI 2011 del CEEY no reporta 49/100 ni la brecha de género 75/71 al cotejarlo directamente.
ASTRA5-U0-SINT-009	transversal-010	LECTURA-2ead6a5a-15	L113	Una encuesta urbano-representativa (N=2,493 en 7 ciudades) encontró que los mexicanos perciben la desigualdad aproximadamente de forma correcta (Gini percibido ≈0.56 vs. real ≈0.50)... sobreestiman la riqueza (percepción promedio: 35% son ricos; real: ~0.6%)... Un experimento informacional reveló que proporcionar datos precisos... no tuvo casi ningún efecto.	NO-EXPLÍCITO	CONCLUSION-DE-ESTUDIO	(a) primaria México (encuesta urbana en 7 ciudades)	Precisión de la percepción de desigualdad (Gini percibido vs. real) y de la proporción de personas 'ricas' percibida vs. real; efecto de un experimento informacional sobre preferencias de igualdad deseada.	Encuesta urbana en 7 ciudades (no especificadas en el report), N=2,493; no es representativa de zonas rurales ni de todo el país; el experimento informacional mide un efecto de tratamiento a corto plazo, no actitudes estables.	Persona; encuesta urbano-representativa en 7 ciudades mexicanas no identificadas por el report, N=2,493.	Encuesta de percepción de desigualdad y movilidad, 7 ciudades, N=2,493 (autor/año no identificados en el report)	SIN-ID-MANIFIESTO	No verificado en este lote.	PENDIENTE-VERIFICACION-DOCUMENTAL	El report no identifica autor/año de esta encuesta (solo 'una encuesta urbano-representativa'); no se localizó en manifiesto ni en los 30 lotes recorridos; no verificado por web (cupo agotado). Falta identificar la pieza exacta antes de poder cerrar siquiera la existencia documental.	SIN-ID-MANIFIESTO; encuesta sin autor/año identificado en el texto del report	No aplica	ninguna corrida con SIN-ID-MANIFIESTO (u0mf --calc: no aplica)	ASTRA5-MESA-ESTATUS	Identificar autor/año/institución de la encuesta de 7 ciudades N=2,493 citada por el report (no declarado en el texto) antes de poder adquirirla.	CONC-DOC-PERCEPCION-DESIGUALDAD-7CIUDADES		buscar_lotes_transversal.py '2,493' -> 0; 'quintil' -> 6 aciertos (todos EMOVI/Oxfam, encuesta distinta); '51 que ascienden' -> 0.	MOVILIDAD	Cambiaría si, al identificar la fuente, el Gini percibido no está cerca del real, o si el experimento informacional sí mostrara efecto en una réplica con mayor poder estadístico.
