id_lectura	ruta	sha256_recalculado	linea	tier_literal	texto_fuente	estado_dictamen
LECTURA-d47463c2-01	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	13	SÓLIDO	1. **[SÓLIDO / MÁS ÚTIL] La paradoja fintech resuelve la pregunta.** México tiene desconfianza institucional documentada (el gobierno es la única institución en desconfianza según el Edelman Trust Barometer 2025 México, con 47%; las empresas encabezan con 67%) y simultáneamente adopción masiva de fintech privada. La desconfianza en el gobierno no impidió la adopción de tecnología financiera privada. Lo que movió la aguja fue utilidad + inclusión + diseño, no confianza institucional.	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-02	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	15	SÓLIDO	2. **[SÓLIDO] La adopción es selectiva por proveedor, no por tecnología.** Los mexicanos distinguen entre confianza en el algoritmo y confianza en la institución que lo despliega. Adoptan algoritmos de empresas privadas mientras resisten los del Estado. No es tecnofobia: es desconfianza dirigida a un actor específico.	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-03	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	17	SÓLIDO	"3. **[SÓLIDO] La brecha digital sigue siendo el techo estructural real.** 83.1% de la población de 6+ usó internet en 2024 (ENDUTIH/INEGI, Comunicado 57/25), pero con brechas: urbano 86.9% vs. rural 68.5%, y hogares con internet de 84.4% en CDMX/Sonora a 50.7% en Chiapas. Del 16.9% que no usa internet, 9.5% ""no sabe usarlo"" — barrera de alfabetización, no de actitud."	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-04	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	19	SÓLIDO	"4. **[SÓLIDO / MÁS MALINTERPRETADO] Los mexicanos aparecen entre los más ""entusiastas"" del mundo con la IA en encuestas, pero esto se sobreinterpreta.** Según Ipsos, ""Monitor de Inteligencia Artificial 2024"" (32 países), ""en México, el 70% respondió estar emocionado, ubicándonos en la quinta posición"", detrás de líderes como China (80%); el 66% ya usa herramientas de IA (Ipsos/Google ""Our Life with AI"", datos 2025). Sin embargo, el entusiasmo declarado está correlacionado con el optimismo económico regional (Asia y Latinoamérica altos, Europa/anglosfera bajos) y coexiste con nerviosismo (52% en 2026). El ""entusiasmo mexicano por la IA"" es un artefacto parcial de patrón regional y de muestras online, no un rasgo distintivamente mexicano."	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-05	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	21	SÓLIDO	5. **[SÓLIDO] El fracaso de CoDi demuestra que la tecnología estatal correcta puede fracasar sin diseño e incentivos.** Según cifras del propio Banxico, 21.8 millones de cuentas fueron registradas en CoDi hasta septiembre de 2025, pero la mayoría permanecen inactivas, con solo 17.8 millones de transacciones acumuladas en seis años (promedio de 875 pesos por operación). Fracasó por fricción, miedo al SAT, informalidad y preferencia por efectivo/SPEI. No fue rechazo ideológico al Estado: fue desconfianza racional (miedo fiscal) + falta de utilidad marginal sobre SPEI.	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-06	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	23	SÓLIDO	"6. **[SÓLIDO] SPEI, en cambio, es infraestructura estatal ampliamente adoptada.** El contraste CoDi/SPEI dentro del mismo emisor (Banxico) prueba que ""confianza en el Estado"" no explica la adopción; la explican la utilidad sin fricción y la ausencia de costo o riesgo percibido."	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-07	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	25	MEDIO	"7. **[MEDIO] La preferencia por mediación humana es fuerte en servicios de alto riesgo/ambiguos, pero no es absoluta.** Los mexicanos prefieren atención humana en servicio al cliente (una encuesta de 2025 concluyó que ""el factor humano seguirá siendo el más confiable y deseado por los mexicanos""), pero aceptan algoritmos sin intermediario en tareas estructuradas (pagos, navegación). Coincide con la literatura de *algorithm aversion/appreciation*: aversión en tareas subjetivas/de alto riesgo, apreciación en tareas cuantitativas/estructuradas."	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-08	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	27	SÓLIDO	8. **[SÓLIDO] El gobierno digital de identidad (Llave MX, CURP biométrica) gatilló resistencia organizada.** No de la población general, sino de la sociedad civil digital (R3D, Artículo 19), oposición política y el Poder Judicial (amparos; la SCJN admitió revisar la constitucionalidad de la reforma de 2025). La resistencia se concentra en élites informadas y se apoya en desconfianza racional: fugas de datos previas, miedo a vigilancia y exclusión.	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-09	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	29	MEDIO	"9. **[MEDIO] La automatización laboral genera exposición desigual pero poca resistencia sindical visible.** Según la OCDE (""Creación de empleo y desarrollo económico local 2024""), 18.9% de trabajadores mexicanos están en alto riesgo de automatización (vs. 12% promedio OCDE); la exposición a IA generativa es de 32% urbano vs. 21% rural. La informalidad (54–56%) actúa como amortiguador y como zona ciega a la vez."	PENDIENTE-DE-DEDUP-Y-CONTRATO
LECTURA-d47463c2-10	corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	31	SÓLIDO	"10. **[SÓLIDO] WhatsApp es la capa de confianza y el canal transaccional dominante.** Es donde ocurre el comercio conversacional, el cobro con links de pago (Mercado Pago) y la atención al cliente vía WhatsApp Business API. La tecnología que ""pasa por"" el canal de confianza personal se adopta más fácil que la que exige ir a un portal institucional."	PENDIENTE-DE-DEDUP-Y-CONTRATO
