# data/emparejamiento-motor-v1_2.tsv -- ACTO MAESTRA32-E4 · RE-EMPAREJA, COMMIT-2
# Re-corrida VERBATIM de la especificacion congelada de MAESTRA32-E2
# (forense/notas/2026-08-28-empareja-spec.md, COMMIT-1), elevada a
# tools/reempareja.py desde el bloque de ACTO MAESTRA32-E6 (dentro de
# forense/notas/2026-08-30-etiqueta-v1_2-cierre.md), sobre el universo
# ampliado de este acto: data/inventario-reactivos-v1_2.tsv UNION
# data/inventario-reactivos-ext-v1_0.tsv (ACTO MAESTRA32-E3 v2), mas
# data/inventario-fd-v1_1.tsv. Ningun termino/criterio de
# CANDIDATO/circularidad/co-observacion/prioridad cambio frente a E2/E6.
# Detalle de la re-corrida y de las tres tablas: forense/notas/2026-08-30-reempareja-spec.md,
# forense/notas/2026-08-30-reempareja-cierre.md.
gen	coef	lado	variable_id	instrumento	texto	via	veredicto_candidato	razon	tabla	termino
G5	familismo_apoyo	theta	financia_8	eder2017	Préstamo familiar	texto	CANDIDATO		inventario-reactivos-ext-v1_0	préstamo familiar
G5	familismo_apoyo	theta	financia_8	eder2017	Préstamo familiar	texto	CANDIDATO		inventario-reactivos-ext-v1_0	préstamo familiar
G5	familismo_apoyo	theta	p4_8_2	endireh2016	4.8.2. Actualmente, ¿usted recibe dinero de familiares o conocidos que viven en Estados Unidos de América...?	texto	CANDIDATO		inventario-reactivos-ext-v1_0	dinero de familiares
G5	familismo_apoyo	theta	p4_8_3	endireh2016	4.8.3. Actualmente, ¿usted recibe dinero de familiares o conocidos dentro del país...?	texto	CANDIDATO		inventario-reactivos-ext-v1_0	dinero de familiares
G5	familismo_apoyo	theta	P10_1_3	enfih2019	10.1 De octubre del 2018 a la fecha, ¿usted recibió dinero de familiares o conocidos que viven en el país?	texto	CANDIDATO		inventario-fd-v1_1	dinero de familiares
G5	familismo_apoyo	theta	P10_1_4	enfih2019	10.1 De octubre del 2018 a la fecha, ¿usted recibió dinero de familiares o conocidos que viven fuera del país?	texto	CANDIDATO		inventario-fd-v1_1	dinero de familiares
G5	familismo_apoyo	theta	P9_2	enif2015	9.2 En el último año de julio del año pasado a la fecha, ¿usted ha recibido dinero de familiares o conocidos que viven en otro país?	texto	CANDIDATO		inventario-fd-v1_1	dinero de familiares
G5	familismo_apoyo	theta	P7_5	enif2024	7.5 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted ha recibido dinero de familiares o personas conocidas que viven en otro país?	texto	CANDIDATO		inventario-fd-v1_1	dinero de familiares
G5	familismo_apoyo	theta	P2_4_2	enut2019	2.4 Durante el mes pasado, ¿las personas de este hogar recibieron dinero de familiares o conocidos que viven en el país?	texto	CANDIDATO		inventario-fd-v1_1	dinero de familiares
G5	familismo_apoyo	theta	P2_4_3	enut2019	2.4 Durante el mes pasado, ¿las personas de este hogar recibieron dinero de familiares o conocidos que viven fuera del país?	texto	CANDIDATO		inventario-fd-v1_1	dinero de familiares
