slot	consumidor	tipo	valor_legacy	consulta_efectiva	emision	prueba	dictamen	siguiente_operacion
RES-0067	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	coeficiente_ejecutable	-0.0645	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0068	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	coeficiente_ejecutable	-0.06626	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0069	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	coeficiente_ejecutable	0.0279	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0070	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	coeficiente_ejecutable	0.16614	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0071	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	coeficiente_ejecutable	-0.166208	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0072	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	coeficiente_ejecutable	0.0876	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0073	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	coeficiente_ejecutable	0.004099	B_CARGA_VALOR	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	COTEJAR-RESULT-ORIGEN-Y-CALC; escritor-procedencia propio solo con firma; conservar reserva asociacion
RES-0074	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	coeficiente_asignado	0.2	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0075	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	coeficiente_asignado	0.55	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
RES-0076	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	coeficiente_asignado	0.4	B_CARGA_FALLBACK_ASIGNADO	NO-EMITE-MAGNITUD-E0	milpa/src/matriz.py:cargar_B; milpa/src/motor.py:correr/evaluar	NO-HISTORICO-SIN-FIRMA	DISEÑAR-CALC-COEFICIENTE-POR-PAR; comprobar identificabilidad y reserva; escritor-procedencia con firma
