necesidad_id	fuente_id_canonico	fuente_nombre	tipo_fuente	objeto_evidencia_id	id_manifiesto	sha256	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota	motivo_rechazo
N1	ADOPCION_Y_RESISTENCIA_TECNOLOGICA_EN_MEXICO_LA_PARADOJA_DE_LA_B	Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	FUENTE_CANDIDATA	OE-7e4e3dd9eb9a42eff606c4cb			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N1	ESPEJO	espejo	FUENTE_CANDIDATA	OE-5eef80e55f4e92ab295da512			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N1	PROCEDENCIA_YAML	procedencia.yaml	FUENTE_CANDIDATA	OE-0aaa84c9683f33ed86927760			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N1	SI	si	FUENTE_CANDIDATA	OE-09245f15b392ed12aadafb41			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N12	ESPEJO	espejo	FUENTE_CANDIDATA	OE-72716bb061582d497a81188a			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N12	VEJEZ_Y_CUIDADO_INTERGENERACIONAL_EN_MEXICO_EL_DEBILITAMIENTO_DE	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	FUENTE_CANDIDATA	OE-db61892a44a87713bc26d20e			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	Apoyo familiar no circular, coobservado con conducta de seguro/afrontamiento ante ausencia estatal.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N15	ESPEJO	espejo	FUENTE_CANDIDATA	OE-64074da83747fbb0bb7a6970			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N15	REPORT_26_THE_CONTEMPORARY_MEXICAN_AND_KNOWLEDGE_EXPERTISE_EDUCA	Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	FUENTE_CANDIDATA	OE-1d0802019343eeadd652a3fe			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N15	SI	si	FUENTE_CANDIDATA	OE-c60d9bb97312c76ed8c66ec2			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	Proxy de deferencia con diseño publicado y desenlace laboral/comunicacional en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N16	SI	si	FUENTE_CANDIDATA	OE-43f4c345d3a2aa91e64fadb2			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md;MAIN:forense/censo-estimabilidad-coeficientes-v1_0.md;MAIN:forense/cobertura-motor.md	Probabilidad de mordida bajo sanción/testigo, idealmente municipal y triangulada fuera de ENCIG.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17			FUENTE_DATOS	OE-980fe55401dfba6bb62d3d41			SI	NO_REFERENCIADO	NO_REFERENCIADO	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-oficial-2026-08-06.tsv:L10	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	MEDIA	NO	Escala/diseño/universo:	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
N17	ESPEJO	espejo	FUENTE_CANDIDATA	OE-8839a231ab99108bf222e53b			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:AGENTS.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Calibrar adopción/rechazo digital separando utilidad, coerción, riesgo fiscal y fricción.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	FUENTE_ES_ARTEFACTO_O_NO_CANONICA
