id_celda	regla	conducta	p_emitida	clase	ola_calibracion_motor_hoy	ola_arbitro	enmienda_medida_misma_conducta_base	entrada_ejes_estrato_celda
CIV-M-01	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	0.294313	MEDIDO	ENVIPE 2025 (unica ola disponible para este universo) -- milpa/tramite.yaml:591, campo ola_calibracion de la regla, top-level, sin bloque enmienda_*	ENVIPE 2012 (marco-M-sorteado-v1_2.tsv, columnas encuesta/ola)	no -- 0 bloques enmienda_* en el id civico.denuncia.miedo_desconfianza (grep milpa/tramite.yaml)	no -- 0 entradas _ejes_ en milpa/tramite-ola5-propuesta-v0.yaml cuyo id contenga civico.denuncia.miedo_desconfianza
CIV-M-02	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	0.294313	MEDIDO	ENVIPE 2025 (unica ola disponible para este universo) -- milpa/tramite.yaml:591	ENVIPE 2013	no	no
CIV-M-04	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	0.294313	MEDIDO	ENVIPE 2025 (unica ola disponible para este universo) -- milpa/tramite.yaml:591	ENVIPE 2015	no	no
CIV-M-10	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	0.294313	MEDIDO	ENVIPE 2025 (unica ola disponible para este universo) -- milpa/tramite.yaml:591	ENVIPE 2021	no	no
CIV-M-12	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	0.294313	MEDIDO	ENVIPE 2025 (unica ola disponible para este universo) -- milpa/tramite.yaml:591	ENVIPE 2023	no	no
CIV-M-13	civico.denuncia.miedo_desconfianza	denuncia_con_miedo_o_desconfianza	0.294313	MEDIDO	ENVIPE 2025 (unica ola disponible para este universo) -- milpa/tramite.yaml:591	ENVIPE 2024	no	no
DIN-M-01	dinero.ahorro.tiene_ahorros	tiene_ahorros	0.174804	MEDIDO	"ENNViH ola 2 (2005-06) -- ponderador fac_3b vive en esta ola; ENIF 2024 -- ponderador FAC_PER (enmienda_enif2024)" -- milpa/tramite.yaml:614, campo top-level de la regla	ENNViH/MxFLS 2002 (ola 1)	SI -- id enmienda_enif2024 (milpa/tramite.yaml:623-651): conducta tiene_ahorros_enif2024, p=0.642080, MEDIDO, campo `sustituye`: "MEDIDO ENNViH 2005-06 de arriba en el calculo -- se conserva integro, no se borra (firma c1)", sellada por firma c1 (mesa, 2/sep/2026, ACTO MAESTRA35-N1). SOLO SE REPORTA -- este acto NO la aplica: las firmas de mesa que este encargo propaga (DM/ADR-270-276, FP-200=b) citan la regla tramite.mordida.discrecional, no dinero.ahorro.tiene_ahorros; aplicar esta sustitucion en el marco seria una decision nueva, de mesa, no de este acto (misma regla que Pieza 2 declara para las 11 celdas sin enmienda firmada)	SI existe el bloque segmentacion_ejes_enif2024 (milpa/tramite.yaml:656-702) DENTRO del id dinero.ahorro.tiene_ahorros, pero declara fuente_regla="dinero.ahorro.via_informal -- mecanismo G3 / informal_sin_puente" (regla DISTINTA, no tiene_ahorros) y sus ejes son sexo/edad/escolaridad/formalidad/tiene_cuenta -- el estrato de esta celda en el marco es "PENDIENTE" (marco-M-sorteado-v1_2.tsv). NO hay coincidencia de estrato: NO aplica a esta celda
FAM-M-01	familia.apoyo.recibe_dinero_familiares	recibe_dinero_familiares_para_vejez	0.457707	MEDIDO	ENIF 2024 (unica ola) -- milpa/tramite.yaml:809, campo top-level, sin bloque enmienda_*	ENIF 2018	no -- 0 bloques enmienda_* en el id familia.apoyo.recibe_dinero_familiares	no -- 0 entradas _ejes_ para este id
FAM-M-05	familia.seguro.volatilidad_ausencia_estado	recibe_remesas	0.045694	MEDIDO	ENIGH 2022 (mas reciente de 6 olas bienales disponibles; las otras 5 van en serie_olas, NO promediadas) -- milpa/tramite.yaml:845, campo top-level, sin bloque enmienda_*	ENIGH 2016	no -- 0 bloques enmienda_* en el id familia.seguro.volatilidad_ausencia_estado	no -- 0 entradas _ejes_ para este id
FAM-M-06	familia.seguro.volatilidad_ausencia_estado	recibe_remesas	0.045694	MEDIDO	ENIGH 2022 (mas reciente de 6 olas bienales disponibles; las otras 5 van en serie_olas, NO promediadas) -- milpa/tramite.yaml:845	ENIGH 2018	no	no
FAM-M-07	familia.seguro.volatilidad_ausencia_estado	recibe_remesas	0.045694	MEDIDO	ENIGH 2022 (mas reciente de 6 olas bienales disponibles; las otras 5 van en serie_olas, NO promediadas) -- milpa/tramite.yaml:845	ENIGH 2020	no	no
