# data/reactivos-ciegos-81-v1_0.tsv -- DERIVADO por tools/censa_reactivos_ciegos.py
# ACTO GEN2-REACTIVOS-RESIDUALES-2 (15/sep/2026, NUBE, sin corpus). NO se edita a mano: se re-genera.
#   python3 tools/censa_reactivos_ciegos.py --salida data/reactivos-ciegos-81-v1_0.tsv
# Una fila por grupo ciego (texto_reactivo vacio en el 100% de sus filas) FUERA de las cinco
# familias del lote prioritario (ENVIPE/ENIF/ENCUCI/ENSAFI/ENNViH). Es el objeto que NC-0136
# nombra como "los 81 grupos historicamente ciegos que quedan fuera del lote" -- aqui derivado.
# DOS CAPAS, DOS GRADOS DE PROMESA: `fd_filas_capa_limpia` cuenta solo el descriptor XLSX
# (data/inventario-fd-v1_1.tsv), que da pares variable->enunciado limpios. `fd_filas_con_texto`
# incluye ademas data/inventario-fd-ext-v1_0.tsv (PDF/XLS), que arrastra encabezados de tabla
# como si fueran reactivos: 6745 de sus 10635 filas caen en tripletas (instrumento, variable_id,
# texto) repetidas, y elcos2012 tiene sus 29 filas iguales al encabezado "(2) | (1)", con CERO
# enunciados utilizables. Por eso un grupo cuya unica ruta viene de esa capa sale
# CANDIDATA-FD-EXT-POR-VERIFICAR y no se presenta como resuelto.
# ALCANCE DEL NEGATIVO (A.15): `filas_ciegas` mide que el enunciado del reactivo no esta
# indexado en el universo del buscador; NO certifica que el reactivo no exista en la fuente real,
# ni suficiencia o insuficiencia cientifica de nada. La busqueda por variable_id SI cubre estos
# grupos. `demanda_hoy` se deriva por IGUALDAD de `instrumento` contra la columna homonima de
# data/corrida0/mapa-demanda-19-corr-v1_0.tsv y por prefijo contra las filas RETENIDA* de
# forense/prereg-duelo-v2/F5-panel-candidatos-v<N>.tsv (la version mas alta presente): NINGUNA-DECLARADA-HOY dice que ninguno de
# esos dos consumidores lo reclama hoy, no que el grupo sea prescindible.
instrumento	filas_ciegas	fd_filas_con_texto	fd_filas_totales	fd_filas_capa_limpia	ruta_recuperacion	demanda_hoy
ADQ15_CNBV_AhorroFinanciero_Financiamiento	2175	256	256	256	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
ADQ15_CNBV_BDIF_inclusion_financiera	293	442	442	442	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
ADQ15_ENAFIN_2024_RNM_INEGI	5494	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
ADQ15_VotarEntreBalas_DataCivica	27	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
ADQ15_WB6667_Tutores_Pedagogicos_Moviles_2016	240	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
ADQ15_WB870_Enterprise_Survey_MX_2010	1	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
ADQCORRE_R74R75_GDELT	17	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
R1_1_AGROASEMEX	24	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
R3.4_Banxico_CoDi_SPEI	11	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
R7.3_PUB_Bienestar	14	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
R7.4_R7.5_ACLED_HDX	5	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
R8.1_contraloria_social	9	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
censo2020	381	375	375	375	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
cpv2020	3	530	530	201	CABLEAR-CAPA-FD-YA-EN-REPO	NINGUNA-DECLARADA-HOY
eder2011	270	0	0	0	REQUIERE-FD-EN-CORPUS	NINGUNA-DECLARADA-HOY
