necesidad_id	fuente_id_canonico	fuente_nombre	tipo_fuente	objeto_evidencia_id	id_manifiesto	sha256	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota
N1	ENCIG	Encuesta Nacional de Calidad e Impacto Gubernamental	FUENTE_CANDIDATA	OE-27a5b3ff4507764a40380904			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:README.md;MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md	Relación entre confianza en servidores públicos y pago de mordida en la misma muestra.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N2	ENCOAP	Encuesta Nacional de Confianza en la Administración Pública	FUENTE_DATOS	OE-52c65e0d0129b5272522d037			SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L4		MEDIA	NO	Escala/diseño/universo: 
N2	ISSP	ISSP Social Networks and Social Resources 2017 México	FUENTE_DATOS	OE-e98c88fd0bd8f8493cef061f			SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo: 
N2	ISSP	ISSP Social Networks and Social Resources 2017 México	FUENTE_DATOS	OE-f0df762d8d95ea4d04b39ef2			SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5		MEDIA	NO	Escala/diseño/universo: 
N3	ISSP	ISSP Social Networks and Social Resources 2017 México	FUENTE_DATOS	OE-9de1114d76ce882ed34bf8e8			SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L15		MEDIA	NO	Escala/diseño/universo: 
N3	ISSP	ISSP Social Networks and Social Resources 2017 México	FUENTE_DATOS	OE-6c724f4d1ff61a92ad3b1beb			SI	NO_REFERENCIADO	NO_REFERENCIADO	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L38	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	ALTA	NO	Escala/diseño/universo: 
N3	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	Microcredit Impacts: Randomized Microcredit Program Placement Experiment	FUENTE_DATOS	OE-0b4087e3279cfa0fe5c27919			SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L4	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo: 
N4	ENFIH2019_FD_XLSX	enfih2019_fd_xlsx	FUENTE_CANDIDATA	OE-d82cbec8d1cd45676a9c95b6			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N5	WVS	World Values Survey	FUENTE_DATOS	OE-3e9b3749b85eec5a7a570417			SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L17		MEDIA	NO	Escala/diseño/universo: 
N6	ENFIH2019_FD_XLSX	enfih2019_fd_xlsx	FUENTE_CANDIDATA	OE-b03c67f3df56bb086aa5493e			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N8	ENCIG	Encuesta Nacional de Calidad e Impacto Gubernamental	FUENTE_CANDIDATA	OE-819aa50dad79d83364ba8f0f			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
