job	paso	linea_verify_yml	nacimiento_citas	costo_mediana_s	costo_p90_s	n_corridas_costo	n_fallos_ci	ultimo_fallo	fallos_en_pr	recomendacion	justificacion
suite	Checkout sin marketplace (repo público — cero descargas de action)	50		6.0	6.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
suite	Intérprete del runner (crudo, para que quede en el log)	64		0.0	0.0	97	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
suite	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	67		3.0	4.0	97	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
suite	Suite de verificación (modo línea base — verde = no empeoraste)	72		109.0	171.0	97	15	2026-09-21T04:30:01Z	13	MANTENER	Es tests/check.py -- ver el desglose test por test en barrido-check-tests.tsv (53 filas). A nivel de paso: mediana 109-121s, dominado por T16 (61s mediana runner) y T32 (39s).
suite	Transporte paralelo, compuerta y semántica del baseline (bloqueante)	75		0.0	1.0	97	4	2026-09-21T06:42:03Z	4	MANTENER	Cita de nacimiento: s/cita explícita. 4 fallos en CI en la ventana medida (4 en rama de PR).
adicionales	Checkout sin marketplace (repo público — cero descargas de action)	84		5.0	6.0	97	1	2026-09-21T04:29:29Z	1	MANTENER	1 fallo en CI (sin evidencia de en qué rama). Infraestructura común a los 4 jobs con checkout propio; el diseño de checkout independiente por job es deliberado (D-23, evita que un job mute el clon de otro) y cada checkout es barato (mediana 5-6s).
adicionales	Intérprete del runner (crudo, para que quede en el log)	98		0.0	0.0	97	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
adicionales	Instala dependencias (requirements.txt — explícito, nunca lo que traiga el runner)	101		3.0	4.0	97	0		0	MANTENER	Infraestructura del job (checkout/intérprete/dependencias), barata (mediana ≤6s) y sin evidencia de fallo propio en la ventana medida.
adicionales	svystat.py — validación independiente (bloqueante)	104		0.0	0.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	sidecars de forense/encargos y forense/notas — sello de cuerpo (bloqueante)	107	ACTO GEN2-TUBERIA-SIDECAR-CUERPO-1	0.0	0.0	8	0		0	MANTENER	Cita de nacimiento: ACTO GEN2-TUBERIA-SIDECAR-CUERPO-1. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	emite_m — resolver de ola_calibracion por conducta (bloqueante)	121	ACTO MAESTRA38-M13 · M-POR-CELDA	5.0	6.0	97	0		0	MANTENER	Cita de nacimiento: ACTO MAESTRA38-M13 · M-POR-CELDA. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	Baseline temporal — corte y compatibilidad del estimando	132		0.0	1.0	97	0		0	MANTENER	Cita de nacimiento: s/cita explícita. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	T-CRON — huella del cron y no-regresión de baseline (bloqueante)	135	ACTO ADQ-CRON-V2 · DISPARO-PERSISTENTE-Y-RUNNER-IDEMPOTENTE	1.0	1.0	97	0		0	MANTENER	Cita de nacimiento: ACTO ADQ-CRON-V2 · DISPARO-PERSISTENTE-Y-RUNNER-IDEMPOTENTE. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	adq_config.py — lector de data/adq-config.yaml (bloqueante)	143	ACTO ADQ-CRON-V2	0.0	0.0	97	0		0	MANTENER	Cita de nacimiento: ACTO ADQ-CRON-V2. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
adicionales	adq_doctor.py — clasificación de lock/crontab (bloqueante)	149	ACTO ADQ-CRON-V2	0.0	1.0	97	0		0	MANTENER	Cita de nacimiento: ACTO ADQ-CRON-V2. 0 fallos en CI en la ventana medida. Sin evidencia de fallo, costo bajo.
