prioridad	estado	organizacion	producto_o_dataset	url_primaria	tipo_fuente	unidad_observacion	periodo	geografia	reactivo_o_campo	desenlace	condicion_acceso	independencia_actor_evaluado	posibilidad_descarga	condicion_satisface	condicion_faltante	impacto_posible	costo
PRIORITARIA	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Colectivo Cero Desabasto / Práctica / Nosotrxs	Datos abiertos de reportes de desabasto	https://cerodesabasto.org/open-data	visualizacion; descarga configurable; dato civil primario	reporte ciudadano de medicamento, insumo, vacuna o anticonceptivo no surtido	2019-actualidad; tablero en tiempo real	México; entidad e institución confirmadas; municipio/unidad por verificar	tipo de insumo; institución; entidad; fecha; campos exactos por documentar	reporte de desabasto; potencial indicador entidad×periodo/campaña	consulta pública sin registro; descarga anunciada desde tablero	Sí respecto del prestador público; autorreporte no probabilístico	Sí, anunciada; enlace/archivo no visible sin ejecutar la aplicación JS	R9.2: auditor externo y clase vacuna; campaña/periodo plausibles	Diccionario, nivel unidad, identificador de campaña, denominador y sesgo de captación	ALTO: puede habilitar auditor independiente para R9.2 o acotar su imposibilidad	BAJO para verificar exportación; MEDIO para construir denominador
PRIORITARIA	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Laboratorio de Análisis de Organizaciones y Movimientos Sociales (LAOMS)	Base de eventos de protesta en México	https://laoms.org/	fuente primaria de investigación; base restringida/no localizada para descarga	evento de protesta	series publicadas 2000-2014 y análisis 2012-2022; continuidad por confirmar	lugar del evento en México; precisión por verificar	fecha; lugar; actor; campo; demanda; repertorio; demandado; agravio; alcance; respuesta	respuesta estatal/interlocución/represión y repertorio	portal e informes públicos; base completa no localizada para descarga directa	Sí respecto de autoridades y actores observados	No confirmada; publicaciones citan archivos XLSX históricos	R7.4/R7.5: evento, actor, lugar, agravio y respuesta en la misma observación	Acceso a base/codebook; cobertura rural/urbana o coordenadas; continuidad temporal	ALTO: supera el ACLED agregado y puede distinguir actores y respuesta colectiva	MEDIO: solicitud institucional o localizar repositorio
PRIORITARIA	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Data Cívica / México Evalúa / Animal Político	Votar entre Balas	https://votarentrebalas.datacivica.org/	fuente civil primaria compilada; visualizacion; descarga	víctima/evento de violencia político-criminal	periodo electoral cubierto por el proyecto; años exactos en diccionario por abrir	estado y municipio	fecha; municipio; víctima; actor/cargo político; tipo de ataque	violencia político-criminal y afectación electoral	público sin registro	Sí respecto de partidos, gobiernos y perpetradores	Sí; el portal ofrece descarga de base	R7.5 y reglas electorales: evento, actor político y municipio	No es protesta general ni autodefensa; falta verificar autor del agravio/respuesta colectiva	ALTO: permite enlace municipio×elección y tipología de actor	BAJO
PRIORITARIA	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Instituto Mexicano de Tecnología del Agua, Observatorio de Conflictos por el Agua	Base del OMCA	https://omca.imta.gob.mx/omca/acerca_ocam	observatorio; compilacion hemerografica primaria	evento/conflicto por agua	2010-actualidad declarada	México; ubicación geográfica consultable	actores; acciones; posición; problemática/disputa; fuente; evolución	evolución del conflicto, acciones y actores	consulta pública; descarga masiva no confirmada	Parcial: institución pública investigadora, separada de muchos actores evaluados	Consulta sí; descarga no confirmada	R7.4/R7.5 y R8: evento geográfico con actores y acciones	Dominio solo agua; falta diccionario, descarga y variable rural/urbana explícita	ALTO-MEDIO: prueba de concepto subdominio para agravio→acción/respuesta	BAJO para consulta; MEDIO si requiere solicitud
PRIORITARIA	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Tanda+ (Tanda Más)	Registro operativo de tandas digitales	https://www.tandamas.mx/	dato propietario; plataforma financiera no regulada como institución financiera	participante×pago×ronda de tanda	actual	México; sede Oaxaca; cobertura efectiva no publicada	monto; frecuencia; ronda; turno; pago; incumplimiento repetido; reputación; círculo familia/amigos	tasa/tiempo de incumplimiento, exclusión y continuidad de tanda	app pública; datos internos no ofrecidos; no se creó cuenta	Sí respecto de participantes; proveedor tiene interés comercial	No	R8.2: ROSCA real, relación personal declarada, pagos e incumplimiento observables	Acceso a datos anonimizados; tamaño/cobertura; definición de incumplimiento; sesgo de usuarios	ALTO: primera puerta directa al mecanismo de tanda y confianza personal	ALTO: convenio/decisión de mesa
PRIORITARIA	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Tanda Ahorro MX	Registro de tandas y reputación	https://www.tandaahorro.com/	dato propietario; plataforma digital	participante×ronda/pago	actual	México; solo Android; cobertura no publicada	monto; frecuencia; rondas; fecha límite; privacidad del grupo; reputación	opportunidad de pago, mora/reputación y permanencia	app gratuita; datos internos no ofrecidos; no se creó cuenta	Sí respecto de participantes; interés comercial del proveedor	No	R8.2: tanda, calendario, pagos y reputación	Acceso, n real (sitio muestra contadores 0), cobertura y validez operativa	ALTO si existe uso real; hoy riesgo fuerte de producto incipiente	ALTO; primero validar tracción sin registro
PRIORITARIA	NO-ACCESIBLE	Kantar Worldpanel by Numerator México	Panel de compra de hogares / Consumer Insights	https://www.kantar.com/latin-america/latinoamerica/Mexico?par=global%2FCoverage%2Fworldpanel%2FMexico	dato propietario; panel longitudinal de compra	hogar×ocasión×producto/marca	continuo	82% de población urbana; 6 regiones y 7 ciudades autorrepresentadas	marca; categoría; unidades; gasto; ticket; canal; frecuencia; precio; demografía	elección de marca, sustitución, penetración y prima pagada	comercial; contacto/contrato; no se solicitó ni aceptó licencia	Sí respecto de marcas individuales; proveedor comercial	No públicamente; informes agregados descargables	R1.4: compra real longitudinal, marca, precio y sustitución	Costo/licencia; confirmar estrato D/E y disponibilidad de microdato o tabulación a medida	MUY ALTO: es la coincidencia más directa para prima de marca con compra real	ALTO
PRIORITARIA	NO-ACCESIBLE	NielsenIQ	Homescan / Consumer Panel Services	https://nielseniq.com/global/es/products/homescan/	dato propietario; panel longitudinal de compra	hogar×viaje×UPC	continuo; cobertura global de 25 países, México debe confirmarse contractualmente	país/mercado; geografía mexicana exacta no publicada	UPC; características; marca; canal; precio/promoción; motivaciones y segmentos	compra, cambio de comprador, respuesta a precio/promoción	comercial vía contacto y plataforma Discover	Sí respecto de marcas/retailers; proveedor comercial	No públicamente	R1.4: conducta real longitudinal a nivel UPC y encuestas enlazables	Confirmación expresa de muestra México, D/E, sustituto comparable, licencia/costo	MUY ALTO si México está incluido en el producto contratado	ALTO
PRIORITARIA	NO-ACCESIBLE	Mercer México	Employee Listening + encuestas de talento/desempeño	https://www.mercer.com/es-mx/solutions/talent-and-rewards/employee-experience/employee-listening/	dato propietario; encuesta empresarial	empleado×ola y organización	continuo/a la medida	México; empresas cliente	clima, preferencias, lo que personas dicen/hacen; métricas de talento y desempeño según módulo	compromiso, retención, KPI y desempeño organizacional potencialmente enlazables	servicio comercial; no se solicitó acceso	No respecto de empleador solo si análisis anonimizado por Mercer; cliente participa	No	R2.2/R10.2: infraestructura para clima longitudinal y resultados organizacionales	No está confirmado un dataset sindicado que enlace liderazgo autoritario/benévolo con rotación/productividad auditada	ALTO conceptual; evidencia de existencia, no satisfacción actual	ALTO
PRIORITARIA	NO-ACCESIBLE	Kellogg / autores del estudio y fintech mexicana no identificada	FinTech Lending to Borrowers with No Credit History	https://www.kellogg.northwestern.edu/academics-research/research/detail/2026/gender-differentiated-digital-credit-algorithms-using-machine-learning/	dato propietario de investigación; acceso restringido	cuenta×mes/solicitud de crédito	publicación 2026; ventana del dato no publicada	México; usuarios de app de reparto	transacciones digitales; historial crediticio; predicción; aceptación; ingresos/costos; default	rechazo/aprobación, rentabilidad e incumplimiento	no disponible públicamente; acuerdo con fintech/autores	Sí analíticamente; fintech es actor evaluado y fuente del dato	No	Scoring alternativo: solicitantes sin historial y default observado	Identidad del prestamista, codebook, sesgo de aprobación y acceso	ALTO: cambia la calibración de crédito alternativo y rechazo sin historial	ALTO; decisión de mesa y convenio
SECUNDARIA	INDEXADO-NO-DESCARGADO	Observatorio de Conflictos Socioambientales, Universidad Iberoamericana CDMX	Sistema de registro OCSA	https://prensa.ibero.mx/es-MX/nota/ocsa-ibero-	observatorio académico-civil; plataforma	evento/conflicto socioambiental	actualización continua; inicio no confirmado	México; comunidades y proyectos georreferenciables por verificar	actores; afectaciones; dinámicas de poder; Estado; empresas; comunidades	conflicto, afectación y respuesta	consulta pública; base/descarga no confirmada	Sí respecto de Estado/empresas evaluadas	No confirmada	R7.4/R7.5: actores y agravio en conflictos	Unidad, fechas, geografía, repertorio y acceso masivo	MEDIO-ALTO en subdominio extractivo	BAJO-MEDIO
SECUNDARIA	INDEXADO-NO-DESCARGADO	Observatorio de Cuidados de México (INMUJERES)	Sistema de indicadores de cuidados	https://observatoriodecuidados.inmujeres.gob.mx/	observatorio/visualizacion; datos derivados	indicador×entidad/municipio según ficha	fuentes diversas; corte por indicador	entidad y municipio	establecimientos, oferta y carencias de cuidado; fuentes declaradas	disponibilidad territorial de servicios de cuidado	consulta pública	No plenamente: actor gubernamental, pero indicadores auditan oferta de múltiples prestadores	Descarga no confirmada	Cuidado: oferta territorial y municipio sin establecimiento	No observa red familiar individual ni obligación/desempeño; posible duplicación de fuentes oficiales	MEDIO: contextualiza ENASIC/ENUT y separa oferta formal de red familiar	BAJO
SECUNDARIA	NO-ACCESIBLE	Great Place to Work México	Efecto Great / base de benchmarking	https://info.greatplacetowork.com.mx/efecto-great-2026	dato propietario; encuesta y benchmark	empleado y organización	2026; series históricas posibles	México	confianza; agilidad; innovación; experiencia del colaborador	resiliencia/innovación; rotación solo como uso declarado, no campo confirmado	planes comerciales; base preconfigurada solo en nivel superior	Parcial: certificador comercial y organizaciones autoseleccionadas	No	R2.1/R2.2: comparación entre organizaciones con clima y posibles resultados	Sesgo de selección; no confirma productividad/rotación auditadas ni tipología de liderazgo	MEDIO: alternativa a ECCO, pero no satisface aún	ALTO
SECUNDARIA	NO-ACCESIBLE	Aon México	Consultoría de talento / Engagement	https://www.aon.com/mexico/productos-y-servicios/capital-humano/consultoria-en-talento.jsp	dato propietario; encuesta empresarial	empleado/organización	continuo	México	compromiso; liderazgo; efectividad de capital humano	desempeño/retención potencial según encargo a medida	servicio comercial	Parcial; independencia depende del contrato y auditoría	No	R2.1/R10.2: canal de medición organizacional	No se documenta dataset sindicado ni desenlace auditado compartido	MEDIO-BAJO hasta obtener ficha técnica	ALTO
SECUNDARIA	NO-ACCESIBLE	Méxicoleaks y alianza de medios	Plataforma de filtración/denuncia anónima	https://mexicoleaks.mx/	plataforma de denuncia; fuente primaria restringida	filtración/documento enviado	2015-actualidad por verificar	México	tema, evidencia documental y medio receptor	investigación periodística derivada	canal público de envío; datos protegidos, no dataset para análisis	Sí respecto de denunciados; selección editorial	No por diseño de seguridad	Corrupción/denuncia: existencia de canal protegido y resultados periodísticos	No observa seguro; confidencialidad impide microdato; no procede solicitarlo	BAJO para medición; útil solo como universo de investigaciones publicadas	PROHIBITIVO/NO PROCEDENTE para microdato
SECUNDARIA	DUPLICADA-DE-FUENTE-CONOCIDA	Mexicanos Contra la Corrupción y la Impunidad	Encuesta MCCI sobre corrupción e impunidad	https://contralacorrupcion.mx/	encuesta civil; informes y XLSX conocidos	persona encuestada	2019-2024 según antecedente	México; desagregación subnacional no confirmada	percepción/experiencia de corrupción; variables exactas pendientes de abrir	opinión y posible experiencia de mordida	XLSX público localizado por BARRIDO-1	Sí	Sí	Triangulación no-INEGI para mordida	Ya catalogada; falta verificar conducta y granularidad municipal/estatal	MEDIO si trae conducta estatal; no es candidata nueva	BAJO
SECUNDARIA	NO-ACCESIBLE	ACLED	ACLED event-level data	https://acleddata.com/	dato restringido; API/descarga con registro	evento de conflicto/protesta	1997-actualidad según cobertura del proveedor	coordenada; admin1/admin2	fecha; evento; subevento; actores; interacción; fatalidades; notas	protesta/violencia y actores	registro y aceptación de términos; no se realizó	Sí	No sin registro/licencia	R7.4/R7.5 en versión detallada	Acceso autorizado; rural/urbano debe derivarse; fuente ya conocida	ALTO pero duplicado conceptual de puerta conocida	MEDIO
SECUNDARIA	ABIERTO-SIN-MAPEO	Observatorio sobre Desaparición e Impunidad (UNAM y socios)	Bases de datos e informes del ODIM	https://odim.juridicas.unam.mx/	observatorio; repositorio de bases e informes	caso/evento de desaparición y expediente según producto	varios periodos	México; contextos subnacionales	identidad del evento/caso; contexto; respuesta legal/institucional	desaparición, impunidad y respuesta estatal	consulta pública; acceso por producto	Sí respecto de autoridades evaluadas	Parcial; bases declaradas, descarga específica por localizar	Violencia y actores; potencial respuesta institucional	No es protesta/autodefensa; unidad y campos dependen de cada base	MEDIO como triangulación de violencia/justicia	BAJO-MEDIO
SECUNDARIA	MAPEADO-NO-SATISFACE	Denuncia Digital CDMX	Registros de denuncia digital	https://www.denunciadigital.cdmx.gob.mx/	registro administrativo restringido; plataforma	denuncia/persona	actual	Ciudad de México	tipo de delito; ubicación; identidad/autenticación	tenencia de denuncia formal	requiere Llave CDMX o firma electrónica y aviso; no se ingresó	No: fiscalía es actor del sistema evaluado	No	Denuncia observada y canal digital	No campo de seguro documentado; no nacional; acceso individual, no analítico	BAJO para civico.denuncia.con_seguro	NO PROCEDENTE sin convenio
SECUNDARIA	NO-ENCONTRADO-EN-UNIVERSO-DECLARADO	Universo civil/comercial revisado	Denuncia vinculada con tenencia de seguro	https://www.amis.com.mx/	búsqueda negativa; potencial agregado asegurador	siniestro o denuncia, pero no coobservados en una fuente localizada	búsqueda al 2026-08-06	México	seguro vigente + decisión/acto de denunciar	tasa de denuncia condicionada a seguro	sin puerta localizada	N/A	No	Ninguna	Falta coobservación individual de seguro y denuncia; AMIS publica siniestros agregados y ENVIPE ya es fuente conocida	ALTO si apareciera; hoy confirma hueco estructural	MEDIO para convenio con aseguradora
