calc_id	corrida_id	resultado_replay	contexto_replay	razones	spec_yaml_sha256	script_blob_sha256	input_sha256_efectivos	codigo_commit	fecha_verificacion	entorno	procedencia	alcance	nota
CALC-ENIGH2022-REMESAS-CONTEXTO-0001	CALC-ENIGH2022-REMESAS-CONTEXTO-0001--b7eeb4840ff2	REPRODUCE	IDENTICO	verify dirigido por dos pasadas REPRODUCE; CONTEXTO=IDENTICO; 11/11 RESULT; 6/6 inputs COINCIDE; control focal independiente de media y EE linealizado	fa2c24660bc97052ff9a9b18d61e27a494424844096cb4c1044d13f7a3a497f7	72c6f8e24e3303f737889ce03783e3c37fd1d276669c1763588387836a0da5dd	IN-CALC-ENIGH-0001-RESULTADOS=26394edc6ae16808de8efa16c1be662cbe920fc9485863d0a7ababd4d9d23c34,IN-CALC-ENIGH2022-INTENSIDAD-REMESAS-0001-RESULTADOS=e09bbe20ef49c2540dcdacc7cd0b62d8149f614836d038d1bd08ef54f90431fa,IN-CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003-SPEC=c820e67a6d7740765ffdc606c550574a4a77d0e86d4ababaf7d99bf852eb625e,enigh2022_descripcion_base_pdf=7b0c4e6bd36ceb9eae7cc852fce5a38dbcf4f2da6b133d35df6b1443fc76836c,enigh2022_nc_csv=3b2b0bc9c95323b470608113d2902ff3a832764367135f136270b4ce092c9e06,enigh2022_nota_tecnica_pdf=4f79f457d69c1f066d7fd319b1650f7b631f4008cb74e1046e6c644c65be0647	b7eeb4840ff2f407ae39cb947faca151da2fa8f4	2026-09-19	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-DIRIGIDO · GEN2-ENIGH2022-REMESAS-CONTEXTO-CLI-2	11 RESULT sellados; perfiles separados por tam_loc y est_socio, seis contrastes predefinidos; sin adopcion	forense/analisis/enigh2022-remesas-contexto-cli-2/evidencia-replay-remesas-contexto.json
CALC-ENUT2024-PARTICIPACION-INTENSIDAD-0001	CALC-ENUT2024-PARTICIPACION-INTENSIDAD-0001--f815e42386ef	REPRODUCE	IDENTICO	verify aislado REPRODUCE; CONTEXTO=IDENTICO; 22/22 RESULT; 2/2 inputs COINCIDE	3aed0396502667acf1464897221c1d20f4204d204221e7e076dadc90a1d06cc1	4b52343104782e308701d4577401f8ed735f7d512527c05e14d7c0a85f403a69	enut2024_bd_csv=25f35626464053441b367b24001d255dbca408b5f576e614e0e09ac58691c4ba,enut2024_fd_xlsx=4a7dddf1bc0612f5e72694b146848804edc47d8f00c86e7d34d1cfb8f5ec3f58	f815e42386ef9e97442da1fc94e1230519875c4a	2026-09-19	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-AISLADO · GEN2-ENUT2024-PARTICIPACION-INTENSIDAD-CLI-1	22 RESULT sellados; participación, media e intensidad por sexo y edad; sin adopción	forense/analisis/enut2024-participacion-intensidad-cli-1/evidencia-replay-enut2024-participacion-intensidad.json
CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003	CALC-ENIGH2022-PERFIL-ESTRUCTURAL-0003--b26ad248009c	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 32/32 RESULT; 3/3 inputs COINCIDE	616edbdfc5b528c10bb915be2b9831a81dd6363b83e9caa66051ef7844cbce68	883ad365c77276a6f4f6bcddd7b5a7fc71b8a23daaf3f52ff9b4e9986be4f525	enigh2022_descripcion_base_pdf=7b0c4e6bd36ceb9eae7cc852fce5a38dbcf4f2da6b133d35df6b1443fc76836c,enigh2022_nc_csv=3b2b0bc9c95323b470608113d2902ff3a832764367135f136270b4ce092c9e06,enigh2022_nota_tecnica_pdf=4f79f457d69c1f066d7fd319b1650f7b631f4008cb74e1046e6c644c65be0647	b26ad248009cd4e49b432644020127f8999db82c	2026-09-19	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-DIRIGIDO · GEN2-ENIGH2022-PERFIL-ESTRUCTURAL-CLI-1	run sellado -> verify REPRODUCE; 32 RESULT; marginales, conjunta 128 celdas y P3 no-estimable; sin adopcion	forense/analisis/enigh2022-perfil-estructural-cli-1/evidencia-replay-dirigido.json
CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001	CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001--3f8b5bc3bc29	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 11/11 RESULT; 5/5 inputs COINCIDE	0cba6b6bb6e591e54806a1bfb344892d97b1aa895806f126a60c8fff068642f5	98a11e8512c2c6b5dc758a49607aed04c5ddb75cb2f20da2e83c8a44ebf77aa5	za6980_backgroundvar_mx=6004c300ca1331bfd15f163c4deaa726c71b66b46ae9e05361f40ae8cc26ca5f,za6980_q7_evidencia_precedente=7e8f4e13064d4cc4764c150a6d1842c90340857e39c320a3377a93fd9f9f676b,za6980_q_mx=61bc0c80415521965ec1b2546fbe3b2400cfacb2e6b0b542583304821544f2ed,za6980_v2_0_0_dta=aa3bfcbcc1dc20a2735e8e9d2d3d47a72d909dade66e8c4623b910965dc227de,za6980_v2_0_0_sav=20a1420f4aa8f8dcb30f7de61879796d20b7c3042805e7925e56c30b4ae97ca5	3f8b5bc3bc2989d6bf8ee6f770c8c1f6d3904de8	2026-09-19	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-DIRIGIDO · GEN2-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-CLI-2	11 RESULT sellados; conteo familia, diez matrices nativas, sensibilidad, 2x2 y condicionales; sin adopción	forense/analisis/issp2017-consistencia-apoyo-familiar-cli-2/evidencia-replay-issp2017-consistencia-apoyo-familiar.json
CALC-ENCUCI2020-EXPOSICION-RESPUESTA-0001	CALC-ENCUCI2020-EXPOSICION-RESPUESTA-0001--b3151f7d3d68	REPRODUCE	IDENTICO	verify dirigido REPRODUCE; CONTEXTO=IDENTICO; 17/17 RESULT; 2/2 inputs COINCIDE; punto y varianza representativa con control independiente coherente	19e5d59507574a2e9c3165b0d0c4a9a205156ad0787028211246b9dd0b101dea	25d1341f0ab1481fa6422ae2f43f2997386c40ff706da659efd541cea66bbf80	IN-ENCUCI2020-ER-PREREG=b1aa0fe81acdc2f6405be982270a4c77ec6dddf45375f0695d29d12527bc218f,encuci2020_bd_dbf=0414fd59e2afcc36294530687c721e8e86bd04e76ad95bfce4b7b2e70853f283	b3151f7d3d683f14cf875b6ba64a4ed4ceed334d	2026-09-19	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-DIRIGIDO · GEN2-ENCUCI2020-EXPOSICION-Y-RESPUESTA-CLI-1	preflight VERDE -> run sellado -> verify REPRODUCE; tablas completas, identidades y control independiente de AP5_16_4	forense/analisis/encuci2020-exposicion-respuesta-cli-1/NOTA-ENCUCI2020-EXPOSICION-RESPUESTA.md
CALC-MOTRAL2015-VALORACION-SS-0001	CALC-MOTRAL2015-VALORACION-SS-0001--cca8297b03bd	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 42/42 RESULT; 6/6 inputs COINCIDE; control independiente de P17/ranking/join COINCIDE	e5f982120406a1779b35ed8246ab17a687061e84636c5b6a13511f5b674ae3c5	b1dba83bca8f2b95379eec88e2c1dcc035e0b74a28991cc10a24dafa6aaabf1e	enoe_2015_trim2_dbf=956283f7a5b92045ff3b76df61b5c98580f9b5b5cad0822f375f9a9fe45b0ca9,enoe_fd_c_bas_amp_15ymas_pdf=f2f6cc39d88a10c89a819727f371150e1981940fb162c5563338debee0b01224,motral2015_bases_datos_dbf=e86e4e6b350914276bd57a8354f145364c999f35c08c041ee4c5559f9c82741d,motral2015_cuestionario=e21a28f0f38c1727d40d4efbae01c8bb1190fe088bfe1cb75e4101b415f9e731,motral2015_documento_metodologico=d578f9c510dd081fc032a0c9e13bd18a00353b6a48a47f85fc054ba0d3dca4c6,motral2015_estructura_bd=961864548f4561c59f9c6a0303e83c3770c5f1becb9c62a9bd09408a2fce08a6	cca8297b03bdcba0848d801fe1adda115dbbbfbd	2026-09-11	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-N35-PREFERENCIAS-LABORALES-Y-FUENTES	preflight VERDE -> run exit=0 -> verify REPRODUCE; 32 estimandos descriptivos; control independiente para punto P17 total, masas, ranking y cardinalidad ENOE	forense/notas/2026-09-11-GEN2-N35-PREFERENCIAS-LABORALES-Y-FUENTES-cierre.md
CALC-TANDAS-ENNVIH-PANEL-0001	CALC-TANDAS-ENNVIH-PANEL-0001--f3d79bb1c4fa	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 26/26 RESULT; 11/11 inputs COINCIDE; control independiente de matrices/cardinalidad REPRODUCE	58db3d92675eebdc65b43fdf4e7a6a9a31721225add6c79232c80ef83ad1cdc2	0493666c8e4c9750b6ed6704cd41b0be38eef554dae2610b123f2498b25333b6	ennvih1_2002_hogar_cb=a3220412505d6684e50548bdd1e01ce816d3af99ed846e4e27f30f35e9b506b2,ennvih1_2002_hogar_dta=8b9b51904ca8790421d82a8a81f7f4edbce9a296cba2ce86fef74f8f379b5923,ennvih2_2005_guia=6d3334e77e1d417bf7be997715c4e38b0c0047e595a948d7bbcd8295255f0ddc,ennvih2_2005_hogar_cb=1bbbb7ee97bd8d1273213e0d4d2ee616198405d32bc145df9236efa2940f210b,ennvih2_2005_hogar_dta=fc4ea4ae7d0cf4bc906bb46ad5e1e7444b9c24f8e0c569ae3f6e5a9b72453c1a,ennvih2_2005_ponderador_longitudinal=6567bcbf3386b04b3d77c0ac0eb564d5be752b0090bb9caa31ccb1e077a745bf,ennvih3_2009_factores_exp=cc297561caa5e963fd5a7cd88a8ab0a45726b997015eafbcdac7bcf088fe214d,ennvih3_2009_guia=f5e884eb6d923211ea21bf98c5584d87cb04e7540c62d59d6812bbaa28401ba8,ennvih3_2009_hogar_cb=1e23ee82ac16f1f977daa78f017753045a459dc468ba599c1ec4011cc08ef059,ennvih3_2009_hogar_dta=00a7649a1839a3523be22612c2fa3555d5e743cf5329d6bcdc432b901e98bd15,ennvih3_2009_ponderador_longitudinal=52472e0c648c5c35e00bf11b546c9b60beadec93f01290771b67adece3903833	f3d79bb1c4fa5a0bb03da12cbe60d0d421249d1f	2026-09-11	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-TANDAS-PANEL-ENTRADAS-Y-SALIDAS	preflight 11/11 VERDE -> run exit=0 -> verify REPRODUCE; reconstruccion independiente de 8 celdas y cardinalidad REPRODUCE	forense/notas/2026-09-11-GEN2-TANDAS-PANEL-ENTRADAS-Y-SALIDAS-cierre.md
CALC-ENSAFI-DISENO-0001	CALC-ENSAFI-DISENO-0001--f301beff795e	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 226/226 RESULT; 5 inputs COINCIDE; control independiente 156 campos/13 estimandos COINCIDE	0c5c346b1de3c1555bff54682ec6fcf23d5a4a4df80d56e501cc0d0492947d88	aaad7c00cf85c16ebdde2568a69c58d656e6a543f1ed590d127f10665b342157	ensafi2023_bd_csv_zip=c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd,ensafi2023_cuestionario_pdf=d86c69f26d8b77de1d00b94d794b1e2ac01bd26aa101d3fca9e17287380c85fb,ensafi2023_fd_xlsx_zip=37bd0cb6dd54ddb8d8962114971e60e06d2628e97eeb8b4e32269129d556ff4b,gen2_ensafi2023_diseno_muestral=80a097b28f55cf5b8282f8d0a656d52e0d9b21693663c4f52803f55985a0fb31,gen2_ensafi2023_presentacion_resultados=4ad641dff0c90b389044d85efb975ced2dc21fd6a820bab6903b560a32d802ef	f301beff795e9bcf553593cc212e08ea84a5b337	2026-09-11	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ACTO GEN2-ENSAFI-MEDICION-DESCRIPTIVA-CON-DISENO	preflight VERDE -> run exit=0 -> verify REPRODUCE; precision de diseno y denominadores validados por implementacion separada	forense/notas/2026-09-11-GEN2-ENSAFI-MEDICION-DESCRIPTIVA-CON-DISENO-cierre.md
CALC-IMOR-CONTEXTO-0001	CALC-IMOR-CONTEXTO-0001--ae5153ab1e6b	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 11/11 RESULT; input repo COINCIDE; control independiente Decimal COINCIDE	60cc3e5ae5675e30498bfe4b0475209a81a3a119480c586a594193e543bb270d	13b9f8b4dd5defd52ea1aa07e74748f9a4a053bed36e9e78ef7b39f1c54f76d1	IN-BANXICO-IMOR-CONSUMO-MENSUAL=772f9d0b9da57b18ef9abdd5824b0824b6191e65668103e3a8329171d3df88e9	ae5153ab1e6bf8d6a8715f572d918f67734f9041	2026-09-11	NUBE/WSL2 con repo y agregados	VERIFY-ESTRUCTURADO · ACTO GEN2-IMOR-CONTEXTO-TEMPORAL-POR-REGIMEN	preflight VERDE -> run -> verify; salida estructurada, tablas/SVG y control independiente en esta sesión	forense/notas/2026-09-11-GEN2-IMOR-CONTEXTO-TEMPORAL-POR-REGIMEN-cierre.md
CALC-TANDAS-ENNVIH-0001	CALC-TANDAS-ENNVIH-0001--77338cf7ab3a	REPRODUCE	IDENTICO	verify REPRODUCE; CONTEXTO=IDENTICO; 39/39 RESULT; inputs COINCIDE	9c2d10d39542e7e13fcad4ce5fb3afdc4ae2ca06eaafd5f3b90f77b8c2924c7a	9525644232f5539beee13101e72e239fd5cc014fc6e03e21a5ecb0fa86d0263a	ennvih1_2002_guia=d38ee15b9c6b4681364e75fefeed27a26b216c5974a2a5d5c4c7c213e2eede53,ennvih1_2002_hogar_dta=8b9b51904ca8790421d82a8a81f7f4edbce9a296cba2ce86fef74f8f379b5923,ennvih1_2002_hogar_q=40af29bd864e967200dbbde2c9744795b33c0a23cdbb19902dd2ecdb7beb3cac,ennvih1_2002_ponderador=bbe8006844f715c19b724ebb74f1408c4cfa07e2efdfe7d6748b5182ef214587,ennvih2_2005_guia=6d3334e77e1d417bf7be997715c4e38b0c0047e595a948d7bbcd8295255f0ddc,ennvih2_2005_hogar_dta=fc4ea4ae7d0cf4bc906bb46ad5e1e7444b9c24f8e0c569ae3f6e5a9b72453c1a,ennvih2_2005_hogar_q=e73709d1de16f4c79cd20a48080dca7ea6ec3a2dcca491837d7f79a00928e894,ennvih2_2005_ponderador_transversal=34ee12b0c0d71e76676197089b5fd6048c0fdaa590a220f440d95526b1f4713b,ennvih3_2009_factores_exp=cc297561caa5e963fd5a7cd88a8ab0a45726b997015eafbcdac7bcf088fe214d,ennvih3_2009_guia=f5e884eb6d923211ea21bf98c5584d87cb04e7540c62d59d6812bbaa28401ba8,ennvih3_2009_hogar_dta=00a7649a1839a3523be22612c2fa3555d5e743cf5329d6bcdc432b901e98bd15,ennvih3_2009_hogar_q=4eaed9c07a638fdd388901cd84692b9de2f8503ccf5d54da524b660b46fb5340,ennvih3_2009_ponderador_transversal=e7929b49a7cd4f1eae5aa17da77c7eea4794d0f26265fbd40dde5e9c8e3ef8b8	77338cf7ab3a34c15d7ef795bf8b903f481b755b	2026-09-10	CAJA (Ubuntu/WSL2) con corpus montado	VERIFY-ESTRUCTURADO · ADR-470 · ACTO GEN2-TANDAS-MEDICION-ACADEMICA	preflight 13/13 VERDE -> run exit=0 -> verify REPRODUCE; CONTEXTO=IDENTICO; 39/39 RESULT; inputs COINCIDE	forense/notas/2026-09-10-CALC-TANDAS-ENNVIH-0001.md
