id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-6da09e39-01	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L9	WVS México 2018 Q57 codebook v3.0 publica 10.5% confianza en mayoría; ~22% atribuido a esa ola no coincide. C-06b ENCUCI 2020 AP5_1_1 ≥8/10 da 21.9%, coincidencia numérica plausible pero NO procedencia editorial probada. Comparaciones y serie 1990-2005 sin armonizar.	ASTRA5-U0-TRUST-001	MIXTA-Q57-CERRADA-SERIE-PENDIENTE	¿De qué fuente/ola/escala proviene ~22% (¿ENCUCI 2020 AP5_1_1 ≥8 o una WVS distinta?) y cómo se comparan 1990/2005 y OCDE/LAC?	WVS México 2018 Q57 cuestionario/diseño/codebook v3.0 ids en TRUST-001; C-06b ENCUCI 2020 AP5_1_1 ≥8/10 en main como candidato numérico, no atribución probada; otras olas por localizar	ASTRA5-U3	Rastrear cita fuente original de ~22%; no reetiquetar WVS como ENCUCI solo por coincidencia 21.9. Armonizar serie y comparadores.
LECTURA-6da09e39-02	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L11	Saldo neto familiar +52 en 2026 es diferencia entre categorías de una encuesta privada; familia no es institución equivalente a Estado en todas las escalas		PENDIENTE-FUENTE-2026	¿Qué encuesta 2026, pregunta, muestra y fórmula de saldo neto originan +52 y la unicidad frente a otras instituciones?	Research Land 2026 citado en §Mapa de evidencia; ficha técnica, cuestionario y tabulados por localizar	ASTRA5-U3	Recuperar publicación primaria y reconstruir escala/saldo; no equiparar saldo a porcentaje que confía.
LECTURA-6da09e39-03	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L13	Jerarquía multi-encuesta pendiente. WVS México 2018 Q58 familia 91.9% confía completamente/algo, distinto del 87% sin instrumento; LAPOP 2023 B18/B21 cubre policía/partidos.	ASTRA5-U0-POL-001;ASTRA5-U0-TRUST-002	MIXTA-PAR-LAPOP-CERRADO-JERARQUIA-PENDIENTE	¿Qué reactivos ENCIG/ENVIPE/CESOP y años generan cada porcentaje, y permiten una escala común y diferencia estadística estable?	lapop_abmex2023_cuestionario_mexico B18/B21; ENCIG 2023 y ENVIPE 2025 cuestionarios/FD; Research Land 2026 por localizar	ASTRA5-U3	Separar institución, encuesta, año y universo; comparar solo escalas armonizadas, sin jerarquía conjunta automática.
LECTURA-6da09e39-04	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L15	Independencia factorial de confianza/desconfianza procede de estudio n=575; extrapolación psicológica a México no se desprende sin población y replicación		PENDIENTE-ESTUDIO-ORIGINAL	¿En qué población se hizo Yáñez et al. 2006, qué ítems y análisis factorial separan constructos y existe réplica mexicana?	Yáñez et al. 2006 artículo y anexo de escala citados en report por localizar	ASTRA5-U3	Leer método/población del estudio primario; tratar el ejemplo familia-Estado como dos referentes, no prueba factorial mexicana.
LECTURA-6da09e39-05	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L17	93.2% cifra negra comparte estimando con POL-002; 1.2% de denuncias con resolución positiva exige filtro y denominador propios, distinto de 0.8% sobre delitos en report político	ASTRA5-U0-POL-002	MIXTA-CIFRA-MEDIBLE-EN-CORPUS-SIN-RESULT; RESOLUCION-PENDIENTE	¿Qué pregunta/tabulado ENVIPE 2025 produce 1.2%, y se refiere a denuncias, carpetas, delitos denunciados o todos los incidentes?	envipe2025_cuest_modulo_pdf BP1_20/BP1_21/BP1_24 y reactivos de resultado por cotejar; envipe2025_fd_pdf; diseño envipe2025_diseno_muestral_pdf SHA f60661545c2980026619370b69b7d7d3988ab62100cfa7a9b33ac76b4a7f0e69 main e792419c	ASTRA5-U3	Deduplicar solo cifra negra; reconstruir resolución por resultado y denominador sin convertir tasa de denuncia en confianza causal.
LECTURA-6da09e39-06	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L19	Ipsos 2022 compara confianza por sexo; 66% violencia y 93.7% no denuncia proceden de universos y periodos distintos, no un contraste individual	ASTRA5-U0-GEN-001	MIXTA-VIOLENCIA-PARCIAL-GENERO-PENDIENTE	¿Qué base Ipsos/ítem define anomalía 1/30 y cuál encuesta/denominador produce 66% y 93.7% de no denuncia?	Ipsos Global Trustworthiness Index 2022 metodología/microdato por localizar; ENDIREH 2021 cuestionarios General/B/C y ENVIPE 2025 módulo	ASTRA5-U2	Cotejar porcentajes de violencia por ámbito/periodo y muestra Ipsos; no enlazar género-confianza con violencia sin unidad común.
LECTURA-6da09e39-07	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L21	Gradiente educación-confianza gobierno es descriptivo OCDE; efecto de políticas populistas 2018-24 es atribución causal no identificada		PENDIENTE-OCDE-EDUCACION	¿Qué ola, reactivo y bandas educativas del Trust Survey OCDE comparan México/Reino Unido y cuál estimador prueba excepción entre 30 países?	OECD Trust Survey 2023 México, cuestionario y microdato/tabulado por localizar; diseño de contraste 2018-24 ausente	ASTRA5-U3	Recuperar tabla primaria, controlar cortes de educación y no atribuir gradiente a política sin diseño causal.
LECTURA-6da09e39-08	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L23	43% de dotación enviada en juegos es promedio experimental latinoamericano; no estima confianza conductual mexicana nacional ni prueba sesgo de encuesta		PENDIENTE-JUEGO-ORIGINAL	¿Qué países, tamaño de muestra, regla del juego y comparación originan 43%, y qué submuestra mexicana existe?	Chong y Ñopo 2008 estudio de seis países; Holm y Danielson estudio con México, artículos/datos por localizar	ASTRA5-U3	Leer diseños originales; separar juego conductual de pregunta declarada y abstenerse de extrapolación nacional.
LECTURA-6da09e39-09	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L25	Morris-Klesner 2010 estudia corrupción y confianza; reciprocidad causal requiere instrumento/diseño temporal, no se hereda del report		PENDIENTE-IDENTIFICACION	¿Qué variables, temporalidad y estrategia de identificación del estudio permiten cada flecha corrupción↔confianza?	Morris y Klesner 2010 artículo y datos AmericasBarometer por localizar; Seligson 2002/Rothstein 2011 solo procedencia secundaria	ASTRA5-U3	Leer métodos y distinguir asociación, dirección inferida y mecanismo de soborno individual.
LECTURA-6da09e39-10	corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md:L27	~55% informalidad del empleo puede cotejarse con ENOE; doble causalidad confianza↔informalidad no está medida por el porcentaje		PENDIENTE-DEFINICION-ENOE	¿Qué indicador ENOE, trimestre/año y denominador producen ~55%, y qué instrumento empareja experiencia institucional con informalidad?	ENOE 2024 T3 dato/cuestionario/FD/diseño ya registrados; serie INEGI tasa de informalidad laboral 1 por cotejar	ASTRA5-U1	Fijar tasa y periodo, no confundir empleo informal con sector informal; buscar diseño para mecanismo bidireccional.
